"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o27825",25,166,480,30,363,4,16,0,0,4,0,0,2,0,11,3,"True","False","True",2,NA,"15022022_174501",0,"1a61a291761b2fff014d1879ed260b5d6506b7e6","pcattouche"
"o67205",43,266,19,0,1,1,3,0,1,2,0,0,1,0,7,0,"True","False","True",2,NA,"",NA,"",""
"o27841",43,266,6,1,0,0,0,0,1,1,0,0,0,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o89637",60,348,5,0,0,0,0,0,0,2,0,0,0,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o27830",61,391,5,0,0,1,0,0,0,1,0,0,0,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o35505",66,166,57,0,0,0,1,0,0,0,0,0,42,1,7,6,"True","False","True",2,NA,"",NA,"",""
"o70252",77,64,3,0,0,0,0,0,0,0,0,0,1,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o31117",81,166,4,0,0,0,0,0,0,0,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o28265",88,166,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o24891",89,166,4,0,1,0,1,0,0,0,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o27834",96,649,18,0,1,0,9,0,0,2,0,0,0,0,3,0,"True","False","True",2,NA,"",NA,"",""
"o67689",100,166,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o63996",105,166,2,0,0,0,1,0,0,0,0,0,0,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o19978",106,166,2,0,0,0,0,0,0,1,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
