objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o27825,25,166,919,877,true,44,681,16,35,0,0,13,0,1,2,0,34,2,true,false,true,2,,19092022_142635,3600000,2b46f6ac204cffce3d5f562c6c54dc9b23f28f7a,vmcolazzo
o27841,43,311,57,48,true,0,2,6,9,0,2,5,0,1,1,0,16,1,true,false,true,2,,,,,
o67205,43,311,11,9,true,0,0,0,2,0,0,1,0,0,0,0,2,0,true,false,true,2,,,,,
o89637,60,408,11,9,true,0,0,0,1,0,1,1,0,0,0,0,1,1,true,false,true,2,,,,,
o27830,61,466,22,20,true,0,0,0,1,0,0,2,0,0,0,0,1,1,true,false,true,2,,,,,
o35505,66,166,147,145,true,1,0,0,1,0,0,0,0,0,110,1,22,9,true,false,true,2,,,,,
o70252,77,64,8,5,true,0,0,0,1,0,0,0,0,0,1,0,2,1,true,false,true,2,,,,,
o31117,81,166,6,5,true,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o28265,88,166,5,4,true,0,0,0,1,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o24891,89,166,12,9,true,1,3,0,0,0,0,1,0,0,2,0,1,0,true,false,true,2,,,,,
o27834,96,754,39,37,true,0,3,1,17,0,0,4,0,0,1,0,5,0,true,false,true,2,,,,,
o67689,100,166,7,5,true,0,1,0,0,0,0,2,0,0,0,1,0,1,true,false,true,2,,,,,
o63996,105,166,5,4,true,0,0,0,0,0,0,0,0,0,0,1,1,0,true,false,true,2,,,,,
o19978,106,166,4,4,true,0,0,0,1,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o44862,109,64,7,3,true,1,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o9292,109,705,77,74,true,0,2,4,9,0,14,2,3,0,2,1,22,2,true,false,true,2,,,,,
o25175,112,166,15,12,true,0,0,6,1,0,0,2,0,0,1,1,0,0,true,false,true,2,,,,,
o48514,115,463,9,8,true,0,1,0,1,0,1,1,0,1,0,0,1,0,true,false,true,2,,,,,
o34210,121,352,39,36,true,0,2,22,5,0,1,2,0,0,1,0,1,1,true,false,true,2,,,,,
o63500,124,311,5,4,true,1,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o34208,130,416,75,74,true,1,2,32,27,0,2,1,0,0,1,0,2,1,true,false,true,2,,,,,
o45630,130,463,9,7,true,0,0,1,0,0,1,1,1,0,0,0,1,1,true,false,true,2,,,,,
o13839,131,521,9,8,true,1,0,0,1,0,2,0,0,0,0,1,2,0,true,false,true,2,,,,,
o41627,132,311,8,6,true,0,0,1,0,0,0,1,0,2,0,0,0,0,true,false,true,2,,,,,
o41637,132,311,4,4,true,0,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o63326,139,166,7,5,true,0,0,1,0,0,0,1,0,0,1,0,0,1,true,false,true,2,,,,,
o79447,139,258,14,13,true,0,0,0,2,0,0,1,0,0,2,1,7,0,true,false,true,2,,,,,
o83694,139,64,4,3,true,1,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o9908,141,250,25,24,true,0,0,1,6,0,0,1,0,0,10,1,0,4,true,false,true,2,,,,,
o25177,144,458,7,7,true,0,0,0,2,0,1,0,0,0,1,0,1,1,true,false,true,2,,,,,
o41673,144,169,6,4,true,1,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
o48762,147,951,13,11,true,1,0,0,3,0,1,1,0,1,0,0,3,0,true,false,true,2,,,,,
o63994,147,463,9,8,true,0,1,0,1,0,1,0,0,0,0,0,3,0,true,false,true,2,,,,,
o71844,148,210,8,6,true,0,0,0,3,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o36645,149,936,10,8,true,0,0,1,0,0,0,1,1,0,1,1,2,0,true,false,true,2,,,,,
o44993,152,912,51,49,true,0,0,3,1,0,0,2,0,1,8,0,17,10,true,false,true,2,,,,,
o45229,155,324,9,8,true,0,0,1,2,0,1,0,0,1,0,0,0,1,true,false,true,2,,,,,
o70564,160,224,4,4,true,0,0,1,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o25183,165,820,9,7,true,1,0,0,1,0,0,1,0,0,1,0,2,0,true,false,true,2,,,,,
o44456,167,166,4,3,true,1,0,0,0,0,0,1,0,0,0,1,0,0,true,false,true,2,,,,,
o76869,167,505,10,9,true,1,0,0,1,0,0,2,0,1,1,0,1,1,true,false,true,2,,,,,
o10082,169,905,9,7,true,0,1,0,0,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
o25189,170,916,21,19,true,1,2,0,0,0,1,1,1,0,3,0,5,0,true,false,true,2,,,,,
o25192,170,914,10,9,true,0,0,0,1,0,1,0,0,0,1,0,2,1,true,false,true,2,,,,,
o41609,170,392,31,16,true,0,0,8,5,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o25195,173,1007,12,10,true,0,3,0,0,0,0,1,1,0,1,0,2,0,true,false,true,2,,,,,
o41665,173,268,6,4,true,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o41669,173,267,5,4,true,1,0,0,1,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o82286,173,875,13,12,true,0,1,0,2,0,0,1,0,0,3,1,1,1,true,false,true,2,,,,,
o89088,173,511,7,6,true,0,0,0,0,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
o25942,174,421,9,6,true,0,0,1,0,0,1,0,0,0,1,0,2,0,true,false,true,2,,,,,
o34211,176,684,11,9,true,0,0,1,1,0,1,1,0,0,0,0,2,0,true,false,true,2,,,,,
o47168,176,458,5,4,true,0,0,1,1,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o80334,176,64,4,2,true,0,0,1,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o90933,176,1018,10,9,true,0,0,0,1,0,1,1,0,0,2,0,2,0,true,false,true,2,,,,,
o25159,178,502,8,7,true,1,1,0,1,0,0,1,0,0,1,0,2,0,true,false,true,2,,,,,
o77414,178,298,6,5,true,0,0,1,1,0,1,0,1,0,0,0,0,1,true,false,true,2,,,,,
o69753,180,166,3,2,true,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o10525,183,397,14,12,true,1,0,6,3,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o41671,184,283,7,6,true,0,0,4,0,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o75593,184,199,7,5,true,0,1,0,1,0,1,0,0,1,0,0,1,0,true,false,true,2,,,,,
o45213,185,521,6,5,true,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o41604,186,476,7,5,true,0,0,1,0,0,1,0,0,0,0,0,0,1,true,false,true,2,,,,,
o67198,187,1228,18,14,true,0,0,0,1,0,1,1,3,0,2,0,1,3,true,false,true,2,,,,,
o17123,191,463,6,5,true,0,0,0,0,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o44006,193,258,7,6,true,1,0,0,1,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o78729,193,875,6,5,true,0,0,1,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o9972,194,900,8,7,true,0,0,1,0,0,0,0,1,1,0,0,3,0,true,false,true,2,,,,,
o70292,195,428,7,6,true,0,0,0,3,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
o81745,195,880,7,6,true,0,0,0,2,0,0,1,0,0,1,0,2,0,true,false,true,2,,,,,
o26951,197,845,11,7,true,0,2,1,0,0,0,1,0,0,0,1,0,1,true,false,true,2,,,,,
o41662,202,430,5,4,true,0,0,0,2,0,1,0,0,0,0,0,0,0,true,false,true,2,,,,,
o45634,202,463,4,3,true,0,0,0,0,0,0,0,0,1,0,0,1,0,true,false,true,2,,,,,
o88603,202,356,8,6,true,0,0,1,2,0,0,0,0,0,0,1,1,0,true,false,true,2,,,,,
o25166,203,502,7,6,true,0,0,1,0,0,0,1,0,0,0,1,1,1,true,false,true,2,,,,,
o70327,203,1014,14,13,true,0,0,0,1,0,0,1,0,0,1,0,2,1,true,false,true,2,,,,,
o10021,206,1088,9,8,true,0,1,0,1,0,0,1,1,0,2,0,1,0,true,false,true,2,,,,,
o25982,208,453,10,9,true,1,0,0,1,0,1,0,0,0,1,0,2,1,true,false,true,2,,,,,
o71845,209,607,6,6,true,0,0,1,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
o17657,210,538,7,6,true,1,0,0,3,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o34209,211,166,4,3,true,0,1,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o45633,211,166,3,2,true,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o41664,212,318,3,2,true,0,0,0,1,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o41667,212,318,4,3,true,0,0,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o53538,212,177,3,1,true,0,0,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o58635,213,166,3,2,true,1,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o67212,213,374,25,24,true,0,0,9,13,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o89645,213,820,5,4,true,0,0,0,1,0,1,1,0,0,0,0,1,0,true,false,true,2,,,,,
o55684,217,781,7,6,true,0,0,0,0,0,0,0,1,0,1,1,2,0,true,false,true,2,,,,,
