objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
kb_503_Normalized,123,166,969,927,true,40,619,15,36,0,0,12,0,1,105,1,47,10,true,false,true,2,,15092022_121713,3600000,685e77f461d488e66350a9fe607bc528c59e0c66,vmcolazzo
kb_504_Normalized,123,166,10,9,true,1,0,0,1,0,0,2,1,0,1,0,1,1,true,false,true,2,,,,,
kb_505_Normalized,123,166,7,6,true,0,0,1,0,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
kb_659_Normalized,135,166,9,7,true,0,0,1,0,0,0,1,0,0,3,0,1,0,true,false,true,2,,,,,
kb_660_Normalized,135,166,6,6,true,0,0,0,1,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
kb_562_Normalized,137,166,33,32,true,1,2,0,0,0,1,0,0,1,0,0,2,25,true,false,true,2,,,,,
kb_563_Normalized,137,166,7,6,true,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
kb_500_Normalized,158,166,7,6,true,1,0,0,0,0,0,1,0,1,1,0,1,1,true,false,true,2,,,,,
kb_501_Normalized,158,166,6,5,true,0,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
kb_502_Normalized,158,166,5,5,true,1,0,0,0,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
kb_491_Normalized,188,166,5,5,true,0,0,0,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
kb_492_Normalized,188,166,5,4,true,0,0,0,0,0,0,0,0,0,1,1,0,0,true,false,true,2,,,,,
kb_493_Normalized,188,166,4,3,true,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
kb_497_Normalized,197,166,7,6,true,1,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
kb_498_Normalized,197,166,4,4,true,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
kb_499_Normalized,197,166,4,3,true,0,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
