objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o27825,25,166,633,43,491,3,18,0,0,7,0,1,2,0,14,2,true,false,true,2,,28062022_120505,0,1954a5778c6349c1a2283d9983b8a253996f73ed,pcattouche
o67205,43,266,32,0,1,1,4,1,1,3,0,0,1,0,13,0,true,false,true,2,,,,,
o27841,43,266,9,0,0,0,1,0,0,1,0,1,0,0,1,0,true,false,true,2,,,,,
o89637,60,348,10,1,0,0,1,0,1,2,1,0,1,0,1,0,true,false,true,2,,,,,
o27830,61,391,10,0,1,0,1,0,0,2,0,1,0,1,1,1,true,false,true,2,,,,,
o35505,66,166,83,0,1,0,0,0,1,0,0,0,61,0,12,8,true,false,true,2,,,,,
o70252,77,64,5,0,0,0,1,0,0,0,0,0,1,0,3,0,true,false,true,2,,,,,
o31117,81,166,5,0,0,0,0,0,0,0,0,1,1,0,0,0,true,false,true,2,,,,,
o28265,88,166,4,0,0,0,1,0,0,0,0,1,0,0,0,1,true,false,true,2,,,,,
o24891,89,166,7,1,1,0,1,0,0,0,0,1,1,0,0,0,true,false,true,2,,,,,
o27834,96,649,28,0,0,1,13,0,0,3,0,0,1,1,4,0,true,false,true,2,,,,,
o67689,100,166,5,1,0,0,1,0,0,0,0,1,0,0,1,1,true,false,true,2,,,,,
o63996,105,166,4,0,0,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
o19978,106,166,5,0,0,0,1,0,0,0,0,0,1,1,1,1,true,false,true,2,,,,,
o9292,109,632,64,1,0,2,6,0,10,3,3,0,1,1,23,1,true,false,true,2,,,,,
o44862,109,64,2,0,0,0,0,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o25175,112,166,5,0,0,1,0,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o48514,115,433,8,0,0,0,1,0,0,2,0,0,0,0,2,1,true,false,true,2,,,,,
o34210,121,309,21,0,1,10,4,0,0,0,0,0,0,1,1,1,true,false,true,2,,,,,
o63500,124,266,5,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o34208,130,371,54,0,1,19,28,0,2,1,0,0,1,0,1,1,true,false,true,2,,,,,
o45630,130,433,7,1,0,0,0,0,1,1,0,1,0,1,2,0,true,false,true,2,,,,,
o13839,131,478,14,1,0,0,1,0,1,2,0,1,1,0,2,0,true,false,true,2,,,,,
o41627,132,266,6,1,0,0,0,0,1,0,0,0,0,0,1,1,true,false,true,2,,,,,
o41637,132,266,8,1,0,0,1,0,0,1,0,1,0,0,2,1,true,false,true,2,,,,,
o63326,139,166,4,0,0,0,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o83694,139,64,3,0,0,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
o79447,139,242,12,0,0,0,1,0,0,0,0,0,2,0,4,1,true,false,true,2,,,,,
o9908,141,232,33,0,0,1,8,0,0,0,0,0,17,3,1,1,true,false,true,2,,,,,
o25177,144,442,9,0,0,0,2,0,1,1,0,0,1,0,2,1,true,false,true,2,,,,,
o41673,144,169,3,0,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o48762,147,816,12,0,0,0,4,0,0,2,0,0,1,0,3,0,true,false,true,2,,,,,
o63994,147,433,6,0,0,0,1,0,0,1,0,1,0,1,1,0,true,false,true,2,,,,,
o71844,148,207,6,0,0,0,2,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o36645,149,845,10,0,1,0,0,0,0,1,1,0,2,0,2,0,true,false,true,2,,,,,
o44993,152,504,24,0,0,1,1,0,0,1,1,0,3,0,3,10,true,false,true,2,,,,,
o45229,155,281,7,1,0,0,1,0,1,1,0,1,0,0,0,1,true,false,true,2,,,,,
o70564,160,211,4,0,0,0,1,0,1,1,0,1,0,0,0,0,true,false,true,2,,,,,
o25183,165,715,9,0,0,0,2,0,0,2,0,0,0,1,2,1,true,false,true,2,,,,,
o44456,167,166,3,0,0,0,0,0,0,1,0,0,1,0,0,1,true,false,true,2,,,,,
o76869,167,489,6,0,0,0,0,0,0,0,0,0,2,0,2,0,true,false,true,2,,,,,
o10082,169,799,9,0,0,0,0,0,0,1,1,1,1,0,1,1,true,false,true,2,,,,,
o41609,170,362,19,0,0,10,6,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o25189,170,825,15,1,0,0,0,0,0,1,1,0,3,1,3,0,true,false,true,2,,,,,
o25192,170,823,10,1,0,0,0,0,0,1,1,0,1,1,2,1,true,false,true,2,,,,,
o41665,173,238,3,0,0,0,1,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o82286,173,771,10,1,0,0,1,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
o25195,173,886,9,0,0,1,0,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o41669,173,237,3,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o89088,173,495,6,0,1,0,0,0,1,0,0,0,1,0,0,1,true,false,true,2,,,,,
o25942,174,391,5,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o90933,176,558,14,0,0,1,0,0,0,1,0,1,5,1,2,0,true,false,true,2,,,,,
o80334,176,64,2,1,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o47168,176,442,8,1,0,0,1,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
o34211,176,640,10,0,0,1,2,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
o25159,178,486,9,1,0,1,0,1,0,1,0,0,0,0,3,0,true,false,true,2,,,,,
o77414,178,268,6,0,0,2,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o69753,180,166,3,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o10525,183,367,10,1,0,2,5,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o75593,184,196,4,0,0,0,2,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o41671,184,253,6,1,0,2,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o45213,185,478,6,1,0,0,1,0,1,0,0,0,1,0,1,0,true,false,true,2,,,,,
o41604,186,401,4,0,1,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o67198,187,918,11,0,1,0,0,0,0,1,1,0,2,0,1,2,true,false,true,2,,,,,
o17123,191,433,5,1,0,0,0,0,0,0,0,1,0,0,1,0,true,false,true,2,,,,,
o44006,193,242,4,0,0,0,1,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o78729,193,771,7,0,0,0,1,0,0,1,1,0,1,1,1,0,true,false,true,2,,,,,
o9972,194,795,7,0,0,1,1,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o81745,195,745,8,0,0,0,2,0,0,1,0,0,0,0,2,0,true,false,true,2,,,,,
o70292,195,368,7,0,0,0,3,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
o88603,202,340,9,0,1,1,2,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o45634,202,433,5,1,0,0,0,0,0,0,0,1,0,0,2,0,true,false,true,2,,,,,
o41662,202,370,4,0,0,0,2,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o70327,203,773,11,0,0,0,2,0,0,1,0,0,3,0,1,0,true,false,true,2,,,,,
o25166,203,486,6,0,0,0,1,0,0,1,0,0,1,0,2,0,true,false,true,2,,,,,
o10021,206,954,12,1,0,0,2,0,1,1,1,0,2,0,1,0,true,false,true,2,,,,,
o25982,208,286,7,0,0,0,1,0,0,1,0,0,2,0,0,2,true,false,true,2,,,,,
o71845,209,591,11,0,1,2,2,0,1,0,1,0,1,0,1,1,true,false,true,2,,,,,
o17657,210,463,11,0,0,1,6,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o45633,211,166,3,1,0,0,0,0,0,0,0,1,0,0,1,0,true,false,true,2,,,,,
o34209,211,166,3,1,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o41667,212,273,3,0,0,0,1,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o41664,212,273,4,1,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o53538,212,177,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o67212,213,344,44,0,0,21,20,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o89645,213,700,5,0,0,0,2,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o58635,213,166,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o55684,217,592,7,0,0,0,1,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
o58640,219,483,5,1,0,0,0,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o79654,219,878,10,1,0,0,1,0,0,1,0,1,1,1,1,2,true,false,true,2,,,,,
o60109,219,433,4,1,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o89151,220,370,4,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o77740,221,621,7,0,0,0,1,0,0,1,0,0,2,0,1,2,true,false,true,2,,,,,
o67193,221,1361,10,0,0,0,1,0,0,2,1,1,1,1,1,1,true,false,true,2,,,,,
o89680,221,640,6,1,0,0,1,0,0,1,0,1,0,0,1,0,true,false,true,2,,,,,
o41653,222,179,3,0,1,1,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o21079,223,735,19,0,0,0,1,0,0,1,0,0,15,0,1,1,true,false,true,2,,,,,
o70294,223,468,8,1,0,2,3,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o4366,223,531,4,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o17125,224,433,3,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o2060,224,166,2,0,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o57711,224,442,4,0,0,0,1,0,0,1,0,0,0,1,0,0,true,false,true,2,,,,,
o89152,226,266,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o24503,227,1989,14,0,0,0,3,0,1,3,0,0,1,1,3,0,true,false,true,2,,,,,
o56764,227,166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
