objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
sp_208_Normalized,234,64,990,69,818,6,20,0,0,1,0,1,8,0,28,2,true,false,true,2,,28062022_181510,0,1954a5778c6349c1a2283d9983b8a253996f73ed,pcattouche
sp_207_Normalized,234,64,5,1,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
sp_206_Normalized,234,64,5,0,1,0,0,0,1,0,0,0,0,0,1,1,true,false,true,2,,,,,
sp_69_Normalized,275,242,117,0,1,2,64,0,9,3,0,0,4,0,15,6,true,false,true,2,,,,,
sp_70_Normalized,279,242,12,1,0,0,2,0,0,1,0,0,1,0,2,1,true,false,true,2,,,,,
sp_228_Normalized,285,242,10,0,0,0,2,0,1,1,0,0,0,0,1,1,true,false,true,2,,,,,
sp_229_Normalized,287,242,9,0,0,0,2,0,1,0,0,0,1,0,1,1,true,false,true,2,,,,,
sp_234_Normalized,289,242,9,0,1,0,1,0,1,1,0,0,0,0,1,0,true,false,true,2,,,,,
sp_231_Normalized,291,242,10,1,0,0,2,0,1,1,0,0,1,0,1,1,true,false,true,2,,,,,
sp_239_Normalized,296,242,9,0,0,1,2,0,1,1,0,0,1,0,1,1,true,false,true,2,,,,,
sp_74_Normalized,307,242,8,0,0,0,2,0,1,1,0,0,0,0,1,1,true,false,true,2,,,,,
sp_218_Normalized,333,242,8,0,0,0,2,0,1,1,0,1,0,1,1,1,true,false,true,2,,,,,
sp_214_Normalized,369,64,3,0,0,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
sp_237_Normalized,371,652,35,1,0,0,3,0,0,1,3,1,9,0,10,1,true,false,true,2,,,,,
sp_240_Normalized,378,648,13,0,0,0,3,0,0,1,0,0,1,0,2,1,true,false,true,2,,,,,
sp_147_Normalized,387,726,35,1,1,0,2,0,1,2,0,0,4,0,3,17,true,false,true,2,,,,,
sp_270_Normalized,397,644,12,1,0,0,2,0,0,1,0,0,1,1,2,1,true,false,true,2,,,,,
sp_176_Normalized,400,489,8,0,0,0,1,0,0,1,0,1,1,0,2,0,true,false,true,2,,,,,
sp_238_Normalized,400,680,14,0,1,0,4,0,0,2,0,1,2,1,2,0,true,false,true,2,,,,,
sp_233_Normalized,401,957,33,0,1,0,9,0,10,2,3,1,2,0,2,1,true,false,true,2,,,,,
sp_271_Normalized,402,731,13,0,1,0,1,0,0,1,1,0,1,1,2,3,true,false,true,2,,,,,
sp_382_Normalized,408,64,2,1,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
sp_141_Normalized,408,820,17,0,1,0,3,0,0,1,1,0,3,1,2,3,true,false,true,2,,,,,
sp_48_Normalized,428,583,9,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
sp_174_Normalized,435,815,33,0,0,0,3,0,17,1,5,0,2,0,1,1,true,false,true,2,,,,,
sp_315_Normalized,439,788,17,0,1,0,2,0,1,3,1,0,2,0,2,3,true,false,true,2,,,,,
sp_260_Normalized,455,1336,24,1,0,1,5,0,1,2,2,1,2,0,4,0,true,false,true,2,,,,,
sp_256_Normalized,455,1336,16,1,0,0,3,0,0,2,1,0,2,0,1,1,true,false,true,2,,,,,
sp_171_Normalized,458,673,9,0,0,0,2,0,1,1,0,1,1,0,1,1,true,false,true,2,,,,,
sp_278_Normalized,464,804,13,0,0,0,3,0,0,1,1,0,2,0,2,2,true,false,true,2,,,,,
sp_60_Normalized,467,1094,112,0,0,0,3,0,79,2,19,0,2,0,2,2,true,false,true,2,,,,,
sp_325_Normalized,489,1052,666,0,0,0,3,0,543,1,109,0,2,0,2,2,true,false,true,2,,,,,
sp_327_Normalized,495,1324,21,0,1,4,5,0,1,1,2,0,1,1,2,2,true,false,true,2,,,,,
sp_78_Normalized,495,985,243,0,1,0,2,0,192,1,41,0,1,0,1,0,true,false,true,2,,,,,
sp_86_Normalized,502,1085,208,1,0,0,2,0,170,1,29,0,1,0,2,0,true,false,true,2,,,,,
sp_89_Normalized,506,1100,183,0,0,1,2,0,144,1,27,0,1,0,1,2,true,false,true,2,,,,,
sp_146_Normalized,506,1014,19,0,0,0,6,0,1,1,1,0,5,1,1,2,true,false,true,2,,,,,
sp_85_Normalized,509,1093,210,0,0,0,3,0,166,1,34,1,1,0,1,1,true,false,true,2,,,,,
sp_92_Normalized,510,1085,203,0,0,0,2,0,168,1,28,0,0,0,1,1,true,false,true,2,,,,,
sp_405_Normalized,511,1108,17,0,0,0,3,0,5,1,2,1,1,0,1,2,true,false,true,2,,,,,
sp_301_Normalized,513,792,10,0,1,0,1,0,0,1,0,1,1,1,1,2,true,false,true,2,,,,,
sp_59_Normalized,514,1893,15,0,1,0,3,0,1,1,3,0,1,1,1,1,true,false,true,2,,,,,
sp_414_Normalized,516,1721,366,0,0,0,3,0,304,1,48,0,2,1,2,2,true,false,true,2,,,,,
