objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
draft2019_09_valid_boolean_schema_id10_subschema1_not_2,144,138,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id16_subschema1_not_2,145,11,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id18_subschema1_not_2,145,9,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id12_subschema1_not_2,147,11,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id14_subschema1_not_2,147,10,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id11_subschema1_not_2,148,10,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id13_subschema1_not_2,148,8,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id1_subschema1_not_2,182,7,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id7_subschema1_not_2,183,11,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id9_subschema1_not_2,183,9,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id3_subschema1_not_2,185,6,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id5_subschema1_not_2,185,8,StandardGenerationException,,,,
draft2019_09_valid_minItems_id3_subschema1_not_2,185,312,9,293,6,true,true
draft2019_09_valid_minimum_id10_subschema1_not_2,185,89,15,66,8,true,true
draft2019_09_valid_type_id52_subschema1_not_2,185,55,8,46,1,true,true
draft2019_09_valid_type_id54_subschema1_not_2,185,59,6,48,5,true,true
draft2019_09_nonvalid_boolean_schema_id2_subschema1_not_2,186,5,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id4_subschema1_not_2,186,5,StandardGenerationException,,,,
draft2019_09_valid_multipleOf_id2_subschema1_not_2,186,44,4,38,2,true,true
draft2019_09_valid_type_id35_subschema1_not_2,186,43,5,37,1,true,true
draft2019_09_valid_type_id56_subschema1_not_2,186,54,10,42,2,true,true
draft2019_09_valid_type_id57_subschema1_not_2,186,45,9,34,1,true,true
draft2019_09_valid_type_id58_subschema1_not_2,186,42,6,34,1,true,true
draft2019_09_valid_maximum_id3_subschema1_not_2,187,41,5,33,2,true,true
draft2019_09_valid_minLength_id3_subschema1_not_2,187,41,7,32,2,true,true
draft2019_09_valid_minimum_id3_subschema1_not_2,187,38,4,32,1,true,true
draft2019_09_valid_type_id19_subschema1_not_2,187,39,8,30,1,true,true
draft2019_09_valid_type_id28_subschema1_not_2,187,37,6,29,1,true,true
draft2019_09_valid_type_id38_subschema1_not_2,187,34,5,28,1,true,true
draft2019_09_valid_type_id53_subschema1_not_2,187,39,5,32,2,true,true
draft2019_09_valid_boolean_schema_id17_subschema1_not_2,188,5,StandardGenerationException,,,,
draft2019_09_valid_type_id15_subschema1_not_2,188,32,5,26,1,true,true
draft2019_09_valid_type_id16_subschema1_not_2,188,39,5,32,1,true,true
draft2019_09_valid_type_id24_subschema1_not_2,188,31,4,27,0,true,true
draft2019_09_valid_type_id25_subschema1_not_2,188,33,4,29,0,true,true
draft2019_09_valid_type_id32_subschema1_not_2,188,33,4,27,0,true,true
draft2019_09_valid_type_id36_subschema1_not_2,188,34,8,24,1,true,true
draft2019_09_valid_type_id42_subschema1_not_2,188,29,5,24,0,true,true
draft2019_09_valid_type_id43_subschema1_not_2,188,29,4,24,1,true,true
draft2019_09_valid_type_id59_subschema1_not_2,188,28,4,22,0,true,true
draft2019_09_valid_maxLength_id3_subschema1_not_2,189,32,6,25,1,true,true
draft2019_09_valid_maximum_id8_subschema1_not_2,189,27,3,22,1,true,true
draft2019_09_valid_multipleOf_id6_subschema1_not_2,189,32,6,24,1,true,true
draft2019_09_valid_type_id14_subschema1_not_2,189,26,5,20,1,true,true
draft2019_09_valid_type_id20_subschema1_not_2,189,26,4,20,1,true,true
draft2019_09_valid_type_id29_subschema1_not_2,189,30,4,24,1,true,true
draft2019_09_valid_type_id40_subschema1_not_2,189,28,5,21,1,true,true
draft2019_09_valid_type_id41_subschema1_not_2,189,28,5,23,NullPointerException,,
draft2019_09_valid_type_id46_subschema1_not_2,189,28,5,22,1,true,true
draft2019_09_valid_type_id47_subschema1_not_2,189,26,4,21,1,true,true
draft2019_09_valid_type_id48_subschema1_not_2,189,24,4,20,0,true,true
draft2019_09_valid_type_id55_subschema1_not_2,189,27,5,20,1,true,true
draft2019_09_valid_type_id60_subschema1_not_2,189,80,5,73,2,true,true
draft2019_09_valid_type_id6_subschema1_not_2,189,24,4,18,1,true,true
draft2019_09_valid_type_id7_subschema1_not_2,189,24,3,19,1,true,true
draft2019_09_valid_minProperties_id3_subschema1_not_2,190,25,4,19,1,true,true
draft2019_09_valid_minimum_id9_subschema1_not_2,190,23,3,19,0,true,true
draft2019_09_valid_type_id17_subschema1_not_2,190,22,4,18,0,true,true
draft2019_09_valid_type_id18_subschema1_not_2,190,23,4,18,NullPointerException,,
draft2019_09_valid_type_id26_subschema1_not_2,190,24,5,18,1,true,true
draft2019_09_valid_type_id27_subschema1_not_2,190,22,4,17,NullPointerException,,
draft2019_09_valid_type_id33_subschema1_not_2,190,23,4,18,1,true,true
draft2019_09_valid_type_id34_subschema1_not_2,190,22,4,18,NullPointerException,,
draft2019_09_valid_type_id37_subschema1_not_2,190,21,3,18,0,true,true
draft2019_09_valid_type_id3_subschema1_not_2,190,21,4,16,1,true,true
draft2019_09_valid_type_id44_subschema1_not_2,190,21,3,17,1,true,true
draft2019_09_valid_type_id5_subschema1_not_2,190,23,4,18,1,true,true
draft2019_09_valid_type_id13_subschema1_not_2,191,22,3,17,1,true,true
draft2019_09_valid_type_id30_subschema1_not_2,191,21,4,17,0,true,true
draft2019_09_valid_type_id51_subschema1_not_2,191,21,3,17,NullPointerException,,
draft2019_09_valid_type_id8_subschema1_not_2,191,21,3,17,0,true,true
draft2019_09_valid_type_id9_subschema1_not_2,191,22,5,17,NullPointerException,,
draft2019_09_valid_pattern_id2_subschema1_not_2,192,44,24,17,3,true,true
draft2019_09_valid_type_id45_subschema1_not_2,192,21,3,17,1,true,true
draft2019_09_valid_type_id4_subschema1_not_2,192,22,3,17,1,true,true
draft2019_09_valid_boolean_schema_id15_subschema1_not_2,195,8,StandardGenerationException,,,,
draft2019_09_valid_multipleOf_id8_subschema1_not_2,197,25,4,19,2,true,true
draft2019_09_valid_const_id2_subschema1_not_2,220,22,3,18,0,true,true
draft2019_09_valid_const_id34_subschema1_not_2,221,22,3,17,1,true,true
draft2019_09_valid_const_id35_subschema1_not_2,221,21,3,18,0,true,true
draft2019_09_valid_const_id36_subschema1_not_2,221,22,3,17,1,true,true
draft2019_09_valid_const_id3_subschema1_not_2,222,21,4,16,1,true,true
draft2019_09_valid_const_id12_subschema1_not_2,223,22,4,17,1,true,true
draft2019_09_valid_const_id17_subschema1_not_2,223,22,3,18,0,true,true
draft2019_09_valid_const_id37_subschema1_not_2,223,23,4,18,1,true,true
draft2019_09_valid_const_id41_subschema1_not_2,223,21,3,16,1,true,true
draft2019_09_valid_const_id14_subschema1_not_2,224,23,4,18,1,true,true
draft2019_09_valid_const_id31_subschema1_not_2,224,23,4,18,1,true,true
draft2019_09_valid_const_id18_subschema1_not_2,225,24,4,18,1,true,true
draft2019_09_valid_const_id43_subschema1_not_2,225,24,4,19,1,true,true
draft2019_09_nonvalid_boolean_schema_id8_subschema1_not_2,226,4,StandardGenerationException,,,,
draft2019_09_valid_const_id15_subschema1_not_2,226,23,3,18,1,true,true
draft2019_09_valid_type_id70_subschema1_not_2,229,24,4,18,1,true,true
draft4_valid_maximum_id14_subschema1_not_2,229,24,5,18,1,true,true
draft4_valid_minimum_id10_subschema1_not_2,229,24,4,18,1,true,true
draft2019_09_valid_const_id44_subschema1_not_2,230,22,3,18,0,true,true
draft4_valid_maximum_id11_subschema1_not_2,230,24,4,18,1,true,true
draft4_valid_minimum_id7_subschema1_not_2,230,26,5,20,1,true,true
draft2019_09_nonvalid_minimum_id5_subschema1_not_2,231,25,3,20,1,true,true
draft2019_09_nonvalid_items_id10_subschema1_not_2,232,4,StandardGenerationException,,,,
draft2019_09_nonvalid_minItems_id3_subschema1_not_2,232,26,5,20,1,true,true
draft2019_09_nonvalid_minLength_id3_subschema1_not_2,232,41,4,36,1,true,true
draft2019_09_nonvalid_minimum_id4_subschema1_not_2,232,24,4,18,1,true,true
draft2019_09_nonvalid_minimum_id6_subschema1_not_2,232,30,3,25,1,true,true
draft2019_09_nonvalid_boolean_schema_id6_subschema1_not_2,233,4,StandardGenerationException,,,,
draft2019_09_nonvalid_items_id11_subschema1_not_2,233,3,StandardGenerationException,,,,
draft2019_09_nonvalid_minimum_id8_subschema1_not_2,233,23,3,18,1,true,true
draft2019_09_nonvalid_maxLength_id1_subschema1_not_2,234,23,4,19,0,true,true
draft2019_09_nonvalid_maxLength_id3_subschema1_not_2,234,23,4,18,1,true,true
draft2019_09_nonvalid_maximum_id1_subschema1_not_2,234,23,3,20,0,true,true
draft2019_09_nonvalid_maximum_id2_subschema1_not_2,234,23,4,18,1,true,true
draft2019_09_nonvalid_maximum_id3_subschema1_not_2,234,25,6,18,1,true,true
draft2019_09_nonvalid_maximum_id5_subschema1_not_2,234,24,4,19,1,true,true
