objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
o27825,25,390,97,255,2,true,true
o27841,43,70,8,61,0,true,true
o67205,43,82,7,73,1,true,true
o89637,60,55,10,44,0,true,true
o27830,61,55,7,47,0,true,true
o35505,66,53,6,45,0,true,true
o70252,77,82,6,74,1,true,true
o31117,81,38,5,32,0,true,true
o28265,88,41,5,35,0,true,true
o24891,89,6,StandardGenerationException,,,,
o27834,96,38,5,32,0,true,true
o67689,100,38,6,31,1,true,true
o63996,105,36,5,31,0,true,true
o19978,106,33,5,27,0,true,true
o44862,109,34,7,26,0,true,true
o9292,109,36,6,29,1,true,true
o25175,112,221,164,55,1,true,true
o48514,115,36,8,27,1,true,true
o34210,121,105,34,26,45,true,true
o63500,124,32,9,22,0,true,true
o34208,130,44,5,22,16,true,true
o45630,130,28,5,22,0,true,true
o13839,131,24,4,19,0,true,true
o41627,132,28,4,24,0,true,true
o41637,132,25,4,20,0,true,true
o63326,139,3,StandardGenerationException,,,,
o79447,139,25,4,21,0,true,true
o83694,139,26,3,22,0,true,true
o9908,141,34,10,23,0,true,true
o25177,144,28,5,23,0,true,true
o41673,144,27,4,23,0,true,true
o48762,147,27,5,21,0,true,true
o63994,147,26,3,22,0,true,true
o71844,148,27,4,22,0,true,true
o36645,149,62,4,56,1,true,true
o44993,152,25,5,18,1,true,true
o45229,155,23,4,19,0,true,true
o70564,160,29,4,22,0,true,true
o25183,165,31,6,19,NullPointerException,,
o44456,167,22,3,18,0,true,true
o76869,167,24,5,18,0,true,true
o10082,169,24,4,18,1,true,true
o25189,170,23,4,18,1,true,true
o25192,170,23,4,19,0,true,true
o41609,170,32,5,18,8,true,true
o25195,173,26,4,21,0,true,true
o41665,173,25,4,20,0,true,true
o41669,173,23,4,18,0,true,true
o82286,173,23,4,18,0,true,true
o89088,173,24,4,19,0,true,true
o25942,174,25,4,20,0,true,true
o34211,176,24,5,18,0,true,true
o47168,176,23,4,18,0,true,true
o80334,176,23,4,18,0,true,true
o90933,176,25,4,20,0,true,true
o25159,178,25,3,21,0,true,true
o77414,178,50,21,24,4,true,true
o69753,180,24,4,18,1,true,true
o10525,183,24,4,19,0,true,true
o41671,184,24,4,19,0,true,true
o75593,184,24,4,19,0,true,true
o45213,185,23,4,19,0,true,true
o41604,186,24,4,19,0,true,true
o67198,187,23,4,19,0,true,true
o17123,191,25,3,21,0,true,true
o44006,193,23,4,18,1,true,true
o78729,193,3,StandardGenerationException,,,,
o9972,194,24,4,19,0,true,true
o70292,195,23,3,18,1,true,true
o81745,195,38,4,32,0,true,true
o26951,197,24,3,18,2,true,true
o41662,202,23,4,18,0,true,true
o45634,202,23,4,18,0,true,true
o88603,202,25,4,20,0,true,true
o25166,203,24,4,19,1,true,true
o70327,203,26,6,19,0,true,true
o10021,206,23,4,19,0,true,true
o25982,208,24,3,20,0,true,true
o71845,209,26,5,19,0,true,true
o17657,210,63,9,17,37,true,true
o34209,211,33,6,26,0,true,true
o45633,211,25,5,20,0,true,true
o41664,212,23,4,18,0,true,true
o41667,212,24,3,20,0,true,true
o53538,212,24,4,18,1,true,true
o58635,213,22,4,17,0,true,true
o67212,213,499,6,18,474,true,true
o89645,213,26,5,20,1,true,true
o55684,217,26,4,22,0,true,true
o58640,219,25,5,18,1,true,true
o60109,219,28,7,21,0,true,true
o79654,219,32,10,21,1,true,true
o26952,220,24,3,20,0,true,true
o89151,220,25,4,20,0,true,true
o67193,221,25,4,19,1,true,true
o77740,221,25,4,20,0,true,true
o89680,221,25,5,19,1,true,true
o41653,222,22,3,18,0,true,true
o21079,223,20,4,16,0,true,true
o4366,223,23,4,17,0,true,true
o70294,223,25,3,17,4,true,true
o17125,224,24,4,19,0,true,true
o2060,224,5,StandardGenerationException,,,,
o57711,224,54,4,49,0,true,true
o89152,226,27,3,23,0,true,true
o24503,227,21,4,17,0,true,true
o56764,227,3,StandardGenerationException,,,,
o17675,228,19,3,14,0,true,true
o12256,229,22,3,17,1,true,true
o13272,229,22,5,17,0,true,true
o46560,229,20,4,16,0,true,true
o20469,233,22,3,17,0,true,true
o19363,234,20,4,16,0,true,true
o10089,235,22,4,17,0,true,true
o41773,236,21,3,16,1,true,true
o66685,237,20,4,16,0,true,true
o9790,237,23,4,19,0,true,true
o24474,238,21,3,17,0,true,true
o73935,238,27,4,23,0,true,true
o89135,239,31,5,17,8,true,true
o82288,240,21,4,16,0,true,true
o6021,241,20,3,17,0,true,true
o83710,242,21,4,17,0,true,true
o45635,243,20,3,17,0,true,true
o76651,243,36,17,18,1,true,true
o27832,249,22,3,17,1,true,true
o41655,249,21,4,17,0,true,true
o9273,252,21,3,18,0,true,true
o68330,253,4,StandardGenerationException,,,,
o69512,254,26,3,22,0,true,true
o48164,255,47,4,20,23,true,true
o78127,255,26,4,21,0,true,true
o82284,255,31,6,20,4,true,true
o25190,258,32,4,27,0,true,true
o25193,258,25,4,21,0,true,true
o48017,258,23,3,19,0,true,true
o6269,259,23,4,19,0,true,true
o88607,259,31,5,20,6,true,true
o27031,260,23,4,19,0,true,true
o21731,261,23,4,19,0,true,true
o73407,263,22,3,18,0,true,true
o72209,265,23,3,19,0,true,true
o25196,266,24,5,18,1,true,true
o25200,267,22,3,18,0,true,true
o69314,267,23,3,19,0,true,true
o79439,267,23,4,18,0,true,true
o91001,267,20,3,17,0,true,true
o48167,268,21,3,17,0,true,true
o55101,268,22,3,18,0,true,true
o65482,268,21,3,17,0,true,true
o76868,268,21,3,16,1,true,true
o84174,268,21,4,16,0,true,true
o27032,271,21,3,16,1,true,true
o41593,272,20,3,16,0,true,true
o69507,272,21,4,16,1,true,true
o28266,273,20,3,17,0,true,true
o63987,273,21,4,17,0,true,true
o77428,273,21,3,18,0,true,true
o44010,274,22,3,18,0,true,true
o9941,274,21,4,17,0,true,true
o12240,275,22,4,17,0,true,true
o23153,275,15,1,14,0,true,true
o64893,275,21,4,16,0,true,true
o41668,277,38,3,34,0,true,true
o83308,277,21,4,16,0,true,true
o78117,278,20,3,16,0,true,true
o89941,278,21,4,16,0,true,true
o74178,280,20,3,17,0,true,true
o79494,281,19,3,15,0,true,true
o67196,282,20,3,16,0,true,true
o41082,284,21,4,16,1,true,true
o90448,284,21,3,16,1,true,true
o10018,286,48,3,19,25,true,true
o76899,286,22,3,18,0,true,true
o67374,287,23,3,19,0,true,true
o42981,288,23,4,17,1,true,true
o90567,288,22,3,18,0,true,true
o90442,289,27,3,24,0,true,true
o70325,290,21,3,17,0,true,true
