objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
draft2019_09_valid_boolean_schema_id10_subschema1_not_2,144,208,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id16_subschema1_not_2,145,31,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id18_subschema1_not_2,145,26,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id12_subschema1_not_2,147,28,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id14_subschema1_not_2,147,26,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id11_subschema1_not_2,148,27,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id13_subschema1_not_2,148,31,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id1_subschema1_not_2,182,29,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id7_subschema1_not_2,183,29,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id9_subschema1_not_2,183,26,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id3_subschema1_not_2,185,25,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id5_subschema1_not_2,185,28,StandardGenerationException,,,,
draft2019_09_valid_minItems_id3_subschema1_not_2,185,701,29,666,2,true,true
draft2019_09_valid_minimum_id10_subschema1_not_2,185,102,34,63,5,true,true
draft2019_09_valid_type_id52_subschema1_not_2,185,87,28,57,1,true,true
draft2019_09_valid_type_id54_subschema1_not_2,185,79,21,56,1,true,true
draft2019_09_nonvalid_boolean_schema_id2_subschema1_not_2,186,22,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id4_subschema1_not_2,186,26,StandardGenerationException,,,,
draft2019_09_valid_multipleOf_id2_subschema1_not_2,186,85,30,53,2,true,true
draft2019_09_valid_type_id35_subschema1_not_2,186,94,49,44,1,true,true
draft2019_09_valid_type_id56_subschema1_not_2,186,77,23,54,0,true,true
draft2019_09_valid_type_id57_subschema1_not_2,186,67,21,46,0,true,true
