objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
draft2019_09_reflexive_boolean_schema_id1_subschema1_not_2,82,65,728,4,false,37,587,0,0,0,0,0,0,0,0,0,1,1,false,true,,2,,15092022_121218,3600000,685e77f461d488e66350a9fe607bc528c59e0c66,vmcolazzo
draft2019_09_reflexive_boolean_schema_id2_subschema1_not_2,84,65,10,3,false,1,0,0,0,0,0,0,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id1_subschema1_not_2,143,65,13,4,false,0,1,1,0,0,0,0,0,0,2,0,0,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id7_subschema1_not_2,144,65,12,3,false,0,0,0,1,0,0,0,0,0,0,0,2,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id9_subschema1_not_2,144,65,9,3,false,0,0,1,0,0,0,0,0,0,1,0,0,1,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id3_subschema1_not_2,146,65,7,3,false,0,0,0,1,0,0,0,0,0,0,0,1,1,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id5_subschema1_not_2,146,65,5,2,false,0,0,0,0,0,0,0,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id2_subschema1_not_2,147,65,15,2,false,0,0,0,0,0,0,0,0,0,1,0,0,1,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id4_subschema1_not_2,147,65,7,4,false,0,0,0,1,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_not_id5_subschema1_not_2,152,65,8,2,false,1,0,0,0,0,0,0,0,0,0,0,1,1,false,true,,2,,,,,
draft2019_09_reflexive_not_id6_subschema1_not_2,154,65,4,2,false,0,0,1,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_items_id3_subschema1_not_2,156,392,66,10,false,0,1,0,1,0,1,1,0,1,1,1,1,0,false,true,,2,,,,,
draft2019_09_reflexive_maxItems_id1_subschema1_not_2,156,250,11,4,false,0,1,0,1,0,0,1,0,0,1,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_minItems_id1_subschema1_not_2,156,250,9,3,false,0,0,0,0,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_minimum_id2_subschema1_not_2,156,240,8,2,false,0,1,0,1,0,0,0,0,0,1,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_items_id4_subschema1_not_2,158,358,12,3,false,0,0,0,0,0,0,0,0,1,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_maxLength_id1_subschema1_not_2,158,337,134,6,false,0,1,0,3,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_maximum_id1_subschema1_not_2,158,238,9,3,false,1,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_maximum_id2_subschema1_not_2,158,242,6,2,false,0,0,0,0,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_minLength_id1_subschema1_not_2,158,337,13,5,false,0,0,0,3,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_minimum_id1_subschema1_not_2,158,238,5,2,false,0,0,0,1,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id7_subschema1_not_2,158,65,5,2,false,0,1,0,1,0,0,0,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_reflexive_multipleOf_id1_subschema1_not_2,160,230,7,1,false,0,1,0,0,0,0,1,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_pattern_id2_subschema1_not_2,160,327,14,3,false,1,0,0,2,0,0,0,0,0,0,1,0,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id5_subschema1_not_2,160,65,3,1,false,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id2_subschema1_not_2,162,65,3,1,false,0,0,0,1,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id3_subschema1_not_2,162,65,3,1,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id4_subschema1_not_2,162,65,3,1,false,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_multipleOf_id2_subschema1_not_2,164,230,5,2,false,0,0,0,1,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_pattern_id1_subschema1_not_2,164,335,10,4,false,0,0,1,1,0,0,1,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id1_subschema1_not_2,164,336,6,3,false,0,0,0,1,0,0,0,0,0,0,0,1,0,false,true,,3,,,,,
draft2019_09_reflexive_type_id6_subschema1_not_2,164,65,3,1,false,0,0,0,0,0,1,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_maxProperties_id1_subschema1_not_2,166,230,7,2,false,1,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_maxProperties_id2_subschema1_not_2,166,230,4,1,false,1,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_minProperties_id1_subschema1_not_2,166,230,5,2,false,1,0,0,1,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_multipleOf_id3_subschema1_not_2,170,236,5,2,false,0,0,0,0,0,0,1,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_additionalItems_id4_subschema1_not_2,178,65,18,9,false,1,0,9,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id6_subschema1_not_2,184,395,5,2,false,0,0,0,0,0,0,1,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_valid_items_id12_subschema1_not_2,185,328,5,2,false,0,0,0,0,0,1,0,0,1,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minItems_id4_subschema1_not_2,185,65,3,1,false,1,0,0,0,0,0,1,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minLength_id4_subschema1_not_2,185,65,6,3,false,0,1,0,2,0,0,0,0,0,0,1,0,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id5_subschema1_not_2,185,397,4,2,false,0,0,1,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id7_subschema1_not_2,185,397,5,2,false,1,0,0,0,0,0,1,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_items_id14_subschema1_not_2,186,329,5,2,false,0,0,0,1,0,0,1,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id11_subschema1_not_2,186,65,2,1,false,0,0,0,1,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id8_subschema1_not_2,187,65,3,1,false,1,0,0,1,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_maxLength_id1_subschema1_not_2,187,334,12,4,false,1,0,0,2,0,0,1,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_maxLength_id4_subschema1_not_2,187,65,4,1,false,0,0,0,1,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_maximum_id1_subschema1_not_2,187,394,4,1,false,0,0,0,0,0,0,1,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_maximum_id2_subschema1_not_2,187,394,5,1,false,1,0,0,0,0,0,0,0,1,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_maximum_id4_subschema1_not_2,187,65,2,1,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_maximum_id6_subschema1_not_2,187,400,4,2,false,0,0,0,0,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id1_subschema1_not_2,187,394,5,2,false,0,0,0,1,0,0,0,1,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id2_subschema1_not_2,187,394,6,3,false,0,0,0,0,0,0,2,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id4_subschema1_not_2,187,65,2,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_minimum_id8_subschema1_not_2,187,397,4,1,false,1,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_multipleOf_id1_subschema1_not_2,187,470,15,3,false,0,0,0,1,0,0,0,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_valid_not_id12_subschema1_not_2,187,65,2,1,false,0,0,1,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_type_id10_subschema1_not_2,187,65,2,1,false,0,0,1,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_type_id39_subschema1_not_2,187,65,2,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_maxLength_id2_subschema1_not_2,188,336,9,5,false,0,0,0,3,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_minLength_id2_subschema1_not_2,188,336,7,3,false,0,0,0,1,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_multipleOf_id4_subschema1_not_2,188,466,7,3,false,0,0,1,0,0,0,1,0,1,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_type_id1_subschema1_not_2,188,572,11,4,false,1,0,0,1,0,0,1,0,0,0,1,0,1,false,true,,2,,,,,
draft2019_09_valid_type_id23_subschema1_not_2,188,65,3,1,false,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_type_id31_subschema1_not_2,188,65,2,1,false,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_type_id61_subschema1_not_2,188,65,2,1,false,0,0,0,0,0,0,0,0,0,1,0,0,0,false,true,,2,,,,,
draft2019_09_valid_maximum_id7_subschema1_not_2,189,400,7,3,false,0,1,0,1,0,0,0,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_valid_minLength_id1_subschema1_not_2,189,338,7,3,false,0,0,0,1,0,0,1,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_pattern_id6_subschema1_not_2,189,65,4,2,false,0,0,1,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_pattern_id7_subschema1_not_2,189,65,5,2,false,0,0,1,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_type_id11_subschema1_not_2,189,65,3,1,false,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_type_id12_subschema1_not_2,189,65,2,1,false,0,0,1,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_type_id22_subschema1_not_2,189,65,2,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
