objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
o27825,25,430,209,198,2,true,true
o27841,43,90,27,62,0,true,true
o67205,43,80,24,56,0,true,true
o89637,60,82,25,57,0,true,true
o27830,61,84,27,56,0,true,true
o35505,66,88,27,60,0,true,true
o70252,77,74,23,51,0,true,true
o31117,81,115,33,82,0,true,true
o28265,88,79,29,49,0,true,true
o24891,89,25,StandardGenerationException,,,,
o27834,96,69,22,46,0,true,true
o67689,100,66,20,45,0,true,true
o63996,105,66,23,43,0,true,true
o19978,106,64,21,42,1,true,true
o44862,109,40,23,16,0,true,true
o9292,109,69,24,44,1,true,true
o25175,112,186,137,48,0,true,true
o48514,115,101,55,46,0,true,true
o34210,121,117,53,39,25,true,true
o63500,124,85,36,49,0,true,true
o34208,130,76,27,45,4,true,true
o45630,130,67,22,45,0,true,true
o13839,131,63,21,42,0,true,true
o41627,132,63,20,43,0,true,true
o41637,132,81,22,59,0,true,true
o63326,139,23,StandardGenerationException,,,,
o79447,139,67,23,44,0,true,true
o83694,139,67,23,44,0,true,true
o9908,141,64,25,39,0,true,true
o25177,144,66,23,43,0,true,true
o41673,144,87,24,63,0,true,true
o48762,147,61,21,40,0,true,true
o63994,147,64,20,43,0,true,true
o71844,148,73,29,43,1,true,true
o36645,149,75,27,48,0,true,true
o44993,152,68,25,43,0,true,true
o45229,155,77,31,46,0,true,true
o70564,160,64,22,42,0,true,true
o25183,165,71,22,44,NullPointerException,,
o44456,167,66,21,44,0,true,true
o76869,167,69,22,46,0,true,true
o10082,169,67,24,43,0,true,true
o25189,170,58,19,38,1,true,true
o25192,170,65,24,41,0,true,true
o41609,170,73,25,42,6,true,true
o25195,173,67,21,46,0,true,true
o41665,173,61,19,42,0,true,true
o41669,173,62,21,41,0,true,true
o82286,173,64,21,43,0,true,true
o89088,173,70,28,41,0,true,true
o25942,174,64,21,43,0,true,true
o34211,176,64,22,42,0,true,true
o47168,176,66,22,44,0,true,true
o80334,176,62,19,42,0,true,true
o90933,176,62,22,40,0,true,true
o25159,178,65,21,44,0,true,true
o77414,178,78,34,37,7,true,true
o69753,180,67,21,45,0,true,true
o10525,183,66,22,43,1,true,true
o41671,184,85,22,63,0,true,true
o75593,184,62,21,41,0,true,true
o45213,185,64,22,42,0,true,true
o41604,186,69,25,44,0,true,true
o67198,187,68,22,46,0,true,true
o17123,191,75,31,44,0,true,true
o44006,193,67,23,43,0,true,true
o78729,193,22,StandardGenerationException,,,,
o9972,194,83,40,43,0,true,true
o70292,195,76,20,55,1,true,true
o81745,195,80,26,54,0,true,true
o26951,197,61,20,39,1,true,true
o41662,202,59,20,39,0,true,true
o45634,202,59,20,39,0,true,true
o88603,202,72,23,49,0,true,true
o25166,203,86,44,42,0,true,true
o70327,203,62,22,40,0,true,true
o10021,206,60,22,38,0,true,true
o25982,208,61,21,40,0,true,true
o71845,209,59,20,38,1,true,true
o17657,210,61,22,14,25,true,true
o34209,211,69,27,42,0,true,true
o45633,211,71,21,50,0,true,true
o41664,212,87,20,66,0,true,true
o41667,212,61,21,40,0,true,true
