objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
o41680,443,1376,172,196,992,true,false
o79021,482,69,35,32,NullPointerException,,
o25977,515,,43,58,ExecutionException,,
o4845,528,62,27,21,14,true,JsonSchemaException
o25972,591,,49,64,ExecutionException,,
o17671,642,,29,26,ExecutionException,,
o41681,716,1103,30,89,984,true,false
o48761,737,383,326,56,1,true,ExecutionException
o49200,839,61,41,20,0,true,false
o25944,958,81,38,43,0,true,false
o14417,997,116,44,72,0,true,false
o76762,1036,116,32,50,33,true,false
o17612,1123,203,39,12,152,true,false
o46496,1143,101,56,43,2,true,ExecutionException
o20475,1228,98,28,69,1,true,false
o14411,1272,83,38,45,0,true,false
o48872,1389,79,28,45,5,true,false
o14416,1430,80,35,45,0,true,false
o77700,1523,135,40,41,53,true,false
o14413,1524,63,25,37,1,true,false
o14410,1734,77,29,47,1,true,false
o17682,1900,,36,12,ExecutionException,,
o17645,1949,,33,12,ExecutionException,,
o14414,2185,68,27,39,1,true,false
o17644,2189,,33,11,ExecutionException,,
o89539,2196,66,26,38,2,true,false
o20523,2243,67,27,39,1,true,false
o14422,2745,98,42,56,0,true,false
o14424,2804,111,32,79,0,true,false
o14427,3069,103,26,77,0,true,false
o14420,3141,73,30,43,0,true,false
o81598,3627,76,41,35,0,true,false
o84356,3946,99,59,38,1,true,ExecutionException
o20492,5297,62,26,35,1,true,false
o33859,7325,94,54,39,1,true,ExecutionException
o14415,7571,84,28,56,0,true,false
o59998,7828,64,28,36,0,true,false
o64541,11034,72,30,41,0,true,false
o75286,16338,81,39,40,1,true,false
o13132,22645,79,36,41,1,true,false
