objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o41680,443,622,974,10,false,26,813,0,1,0,0,1,1,0,2,0,2,0,false,true,,2,,26092022_235253,0,null,76ba3b4c3347
o79021,482,1266,45,10,false,1,2,0,1,0,1,3,0,0,0,0,1,0,false,true,,3,,,,,
o25977,515,1389,31,10,false,0,0,0,1,0,0,1,0,1,3,1,1,1,false,true,,2,,,,,
o4845,528,1730,76,11,false,1,0,0,1,0,0,2,0,0,2,0,2,1,false,true,,2,,,,,
o25972,591,1389,24,9,false,0,0,0,1,0,0,1,0,0,2,0,1,1,false,true,,2,,,,,
o17671,642,1507,25,8,false,0,1,1,1,0,1,1,0,0,1,0,1,0,false,true,,2,,,,,
o41681,716,1193,16,6,false,0,0,0,1,0,0,1,0,0,1,0,0,1,false,true,,2,,,,,
o48761,737,13892,135,57,false,0,1,0,11,0,2,11,5,3,1,3,1,0,false,true,,3,,,,,
o49200,839,1906,51,14,false,0,1,1,4,0,1,0,0,1,2,1,1,0,false,true,,2,,,,,
o25944,958,4320,74,16,false,1,1,0,1,0,1,1,1,2,3,0,2,2,false,true,,2,,,,,
o14417,997,4259,30,11,false,0,1,1,1,0,0,1,1,0,1,0,1,1,false,true,,2,,,,,
o76762,1036,7077,64,24,false,1,1,0,4,0,2,2,2,0,4,1,2,1,false,true,,2,,,,,
o17612,1123,4736,43,16,false,1,0,0,2,0,1,1,1,0,3,1,2,2,false,true,,2,,,,,
o46496,1143,3606,37,13,false,1,0,0,4,0,0,0,1,0,2,0,1,1,false,true,,2,,,,,
o20475,1228,2546,38,14,false,0,0,0,5,0,1,0,1,0,3,0,1,1,false,true,,2,,,,,
o14411,1272,5109,31,11,false,0,0,0,1,0,2,1,1,0,1,1,0,1,false,true,,2,,,,,
o48872,1389,7358,111,32,false,0,2,1,3,0,0,1,1,0,4,0,9,2,false,true,,3,,,,,
o14416,1430,7243,35,13,false,0,0,1,1,0,1,1,2,0,0,1,0,1,false,true,,2,,,,,
o77700,1523,10689,822,427,false,1,0,1,45,0,174,2,25,1,152,0,2,18,false,true,,2,,,,,
o14413,1524,6033,50,17,false,0,1,0,7,0,0,2,1,2,2,0,1,1,false,true,,2,,,,,
o14410,1734,6836,52,21,false,0,1,0,8,0,0,2,1,1,2,2,1,1,false,true,,2,,,,,
o17682,1900,5292,37,14,false,0,1,0,1,0,2,1,0,0,5,0,1,1,false,true,,2,,,,,
o17645,1949,6734,36,14,false,1,0,1,0,0,0,1,1,0,4,0,2,1,false,true,,2,,,,,
o14414,2185,12186,55,22,false,0,1,1,2,0,1,3,3,1,1,2,0,1,false,true,,2,,,,,
o17644,2189,7818,37,15,false,1,0,0,1,0,1,1,1,0,4,1,2,1,false,true,,2,,,,,
o89539,2196,17406,138,81,false,1,0,1,7,0,1,3,5,0,46,5,2,0,false,true,,3,,,,,
o20523,2243,6473,104,49,false,0,1,0,10,0,20,2,5,1,4,1,2,1,false,true,,2,,,,,
o14422,2745,14211,73,22,false,1,0,0,5,0,1,3,3,0,1,2,1,0,false,true,,2,,,,,
o14424,2804,14658,64,25,false,1,2,0,8,0,1,3,3,0,1,1,1,1,false,true,,2,,,,,
o14427,3069,15517,51,19,false,1,0,0,2,0,0,3,3,1,1,1,1,0,false,true,,2,,,,,
o14420,3141,17999,64,27,false,0,1,0,7,0,2,3,3,1,1,2,1,0,false,true,,2,,,,,
o81598,3627,32340,142,66,false,1,0,0,13,0,1,6,15,0,7,1,6,2,false,true,,2,,,,,
o84356,3946,15109,85,37,false,0,1,1,4,0,1,2,5,1,7,2,4,1,false,true,,3,,,,,
o20492,5297,10300,89,38,false,1,3,0,14,0,5,1,1,1,10,0,1,1,false,true,,2,,,,,
o33859,7325,32801,235,114,false,1,1,1,21,0,4,12,7,0,17,4,4,5,false,true,,3,,,,,
o14415,7571,30234,167,66,false,1,0,0,21,0,13,6,4,1,1,8,0,1,false,true,,2,,,,,
o59998,7828,33410,170,68,false,1,5,0,19,0,8,2,7,2,12,4,1,1,false,true,,2,,,,,
o64541,11034,53064,365,177,false,0,2,1,49,0,4,10,61,2,18,3,6,4,false,true,,2,,,,,
o75286,16338,113295,573,303,false,1,1,1,68,0,21,31,23,3,65,5,6,17,false,true,,2,,,,,
o13132,22645,37045,221,98,false,1,3,1,23,0,2,5,8,2,20,2,4,5,false,true,,3,,,,,
