objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
oneof6,88,397,StandardGenerationException,,,,
oneof12,96,68,StandardGenerationException,,,,
notnames1,142,280,59,210,9,true,false
oneof10,172,206,89,116,1,true,true
oneof5,235,241,151,88,1,true,true
oneof11,236,191,96,94,1,true,true
oneof13,244,152,77,74,1,true,false
oneof9,272,166,70,94,2,true,false
notnames2,295,157,69,88,0,true,false
oneof8,332,157,64,93,0,true,true
itemscontains2,358,163,64,98,1,true,true
itemscontains1,358,172,69,99,JsonGeneratorException,,
oneof1,369,146,65,80,0,true,false
oneof2,400,187,104,82,1,true,false
object4,414,152,60,92,0,true,false
oneof3,423,70,StandardGenerationException,,,,
object3,476,169,81,87,1,true,false
object1,476,181,64,116,1,true,false
object2,477,177,100,75,1,true,false
notnames4,499,205,131,74,0,true,false
oneofitemscontains2,501,165,67,97,1,true,false
oneofanyofitc2,501,155,73,81,1,true,false
oneofanyofitc1,501,158,57,100,1,true,false
oneofitemscontains1,501,164,63,99,1,true,false
notnames5,506,152,54,98,0,true,false
oneofanyofitc3,519,151,65,86,0,true,false
oneofitemscontains4,519,147,69,78,0,true,false
oneofanyofitc4,519,171,105,65,1,true,false
oneofitemscontains3,519,144,70,73,1,true,false
object5,539,165,46,118,1,true,false
notnames6,542,138,47,90,1,true,false
oneofitc2,609,71,StandardGenerationException,,,,
oneofitc4,627,82,StandardGenerationException,,,,
object6,658,158,74,83,1,true,false
oneofpr1,659,198,80,117,1,true,false
oneofpr4,659,191,82,108,1,true,false
oneofpr3,659,175,63,111,1,true,false
oneofpr2,673,330,240,89,1,true,false
oneofitemscontains5,684,120,64,56,0,true,false
oneofanyofitc5,684,151,47,102,2,true,false
oneofanyofitc8,686,176,65,111,0,true,false
oneofitemscontains8,686,157,64,92,1,true,false
oneofanyofitc7,687,174,57,117,0,true,false
oneofitemscontains7,687,157,99,58,0,true,false
oneofitemscontains6,690,181,88,92,1,true,false
oneofanyofitc6,690,113,56,57,0,true,false
object7,729,68,StandardGenerationException,,,,
allany1,736,147,58,71,18,true,false
allone1,736,139,59,76,4,true,false
object8,773,73,StandardGenerationException,,,,
notnames7,778,155,49,106,0,true,false
oneofpr5,854,169,86,82,1,true,false
oneofpr7,864,68,StandardGenerationException,,,,
oneofpr8,864,52,StandardGenerationException,,,,
oneofpr6,885,77,StandardGenerationException,,,,
allany7,920,163,79,81,3,true,false
allany8,920,165,75,87,3,true,false
allone2,946,209,89,117,3,true,false
allany2,946,190,109,78,3,true,false
allany9,970,65,StandardGenerationException,,,,
allany4,1016,161,74,83,4,true,false
allone4,1016,167,78,85,4,true,false
allany21,1035,216,79,134,3,true,false
allany6,1090,172,76,92,3,true,false
object9,1140,45,StandardGenerationException,,,,
object10,1163,107,56,51,0,true,false
test,1221,113,40,70,2,true,false
allany11,1382,81,StandardGenerationException,,,,
allany12,1428,166,58,85,23,true,false
allany13,1471,189,56,63,70,true,false
notnames9,1644,146,63,82,1,true,false
notnames10,1789,174,82,84,8,true,true
allany15,2161,163,63,97,2,true,false
allany19,2165,174,63,89,22,true,true
allany16,2207,135,57,75,3,true,false
allany14,2212,218,100,117,1,true,false
allany22,2280,171,75,83,13,true,true
allany17,2342,190,133,55,1,true,false
allany20,2367,184,60,111,13,true,false
allany23,2379,394,76,305,13,true,false
pNameFalse,63,676,376,262,10,true,false
