objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
pNameFalse,63,274,1094,56,721,6,142,0,2,11,0,2,14,1,49,21,True,False,True,2,,06072022_193726,0.0,e7a53cdb3acae12ee90a7c50b32e6f33c4c3a562,pcattouche
string1,81,320,1055,1,1,7,872,0,63,2,0,0,0,1,3,99,True,False,True,2,,,,,
existsName1,85,330,17,0,1,0,2,0,0,1,0,1,3,0,2,2,True,False,True,2,,,,,
test,104,2265,117,0,1,1,4,0,9,5,9,1,23,4,38,5,True,False,True,3,,,,,
num0,150,605,11,1,1,0,1,0,0,3,0,1,1,0,1,1,True,False,True,2,,,,,
dep1,156,1469,44,1,1,1,2,0,0,4,0,0,17,1,3,6,True,False,True,2,,,,,
oneOf1,179,4068,63,1,1,2,3,0,1,5,6,3,15,3,5,3,True,False,True,4,,,,,
oneOf2,180,2475,43,1,0,2,2,0,1,3,7,3,10,2,3,2,True,False,True,4,,,,,
string2,180,472,215,0,0,13,41,0,108,0,0,0,0,0,1,49,True,False,True,2,,,,,
key1,206,2944,19,0,1,0,1,0,0,4,0,1,4,1,1,0,True,False,True,2,,,,,
key2,226,3496,27,0,0,0,2,0,1,9,0,1,5,1,1,0,True,False,True,2,,,,,
dep2,229,3095,51,0,0,0,1,0,0,3,0,0,27,1,4,5,True,False,True,2,,,,,
test.NoType,248,1326,25,0,0,2,1,0,1,1,1,0,4,1,1,7,True,False,True,4,,,,,
oneOf3,250,12253,378,0,0,2,4,0,2,6,10,7,272,14,9,7,True,False,True,5,,,,,
dep3,254,1627,26,0,1,1,1,0,0,2,0,1,8,0,3,3,True,False,True,2,,,,,
pnmp10,257,1008,20,1,0,0,2,0,0,0,0,1,3,1,1,8,True,False,True,2,,,,,
pnmp1,257,1008,11,0,0,1,1,0,0,1,0,0,2,1,1,3,True,False,True,2,,,,,
key3,261,7725,853,1,0,0,4,0,2,13,0,1,820,2,0,0,True,False,True,2,,,,,
allOfPProp2,277,902,17,0,0,1,1,0,0,0,0,0,5,0,1,6,True,False,True,2,,,,,
oneOf10,284,7411,55,1,1,1,2,0,1,1,1,1,26,2,8,2,True,False,True,3,,,,,
oneOf8,291,12811,210,0,0,1,1,0,1,4,7,4,178,5,2,0,True,False,True,3,,,,,
allOfPProp1,313,686,9,0,0,1,1,0,1,0,1,0,1,0,0,3,True,False,True,2,,,,,
oneOf5,317,7537,44,1,0,0,1,0,0,1,2,2,27,2,4,1,True,False,True,3,,,,,
num2,324,1309,6,0,1,0,0,0,1,0,0,0,0,0,1,1,True,False,True,2,,,,,
oneOf7,331,6366,48,0,1,0,5,0,1,1,3,1,25,2,3,1,True,False,True,3,,,,,
oneOf6,332,5809,32,0,0,0,2,0,1,2,1,1,16,2,2,0,True,False,True,3,,,,,
dep4,364,5965,37,0,0,1,0,0,0,2,0,0,22,2,3,3,True,False,True,2,,,,,
dep5,364,5965,36,0,0,1,1,0,0,1,0,0,20,2,2,3,True,False,True,2,,,,,
num1,365,1640,21,0,0,0,1,0,0,2,0,0,16,0,1,1,True,False,True,2,,,,,
allOfPProp3,365,1048,13,0,0,1,1,0,0,0,0,0,3,0,0,5,True,False,True,2,,,,,
pnmp2,368,1912,10,0,0,0,2,0,1,0,1,0,2,0,1,2,True,False,True,2,,,,,
key5,369,5074,17,0,0,0,2,0,1,2,2,1,1,1,1,1,True,False,True,2,,,,,
oneOf9,375,9810,142,1,0,0,2,0,0,2,3,2,115,4,4,2,True,False,True,3,,,,,
num3,382,1424,10,0,0,1,1,0,0,2,0,1,1,0,1,0,True,False,True,2,,,,,
key8,403,14840,1297,1,0,0,2,0,2,5,5,3,1261,4,4,1,True,False,True,3,,,,,
arr1,404,26213,148,0,0,0,4,0,2,8,5,3,96,6,6,2,True,False,True,3,,,,,
string3,409,1022,15291,0,0,2,168,0,335,1,0,0,14770,0,1,12,True,False,True,2,,,,,
key7,409,11442,59,1,0,0,1,0,2,8,10,5,7,5,2,0,True,False,True,3,,,,,
length,409,1127,12,0,1,0,6,0,0,1,0,0,1,0,1,1,True,False,True,2,,,,,
key6,416,8923,29,0,0,1,2,0,1,4,3,1,5,3,2,0,True,False,True,3,,,,,
allIt1,426,2046,11,0,0,1,1,0,1,1,1,0,2,0,1,1,True,False,True,2,,,,,
oneOf4,432,9763,232,0,0,1,1,0,0,0,1,4,202,7,4,2,True,False,True,5,,,,,
pnmp3,439,10404,18,0,0,0,2,0,0,1,0,0,4,0,1,4,True,False,True,2,,,,,
key4,453,15665,737,0,0,1,1,0,1,8,0,7,705,8,1,0,True,False,True,2,,,,,
string4,455,1571,2444,0,1,2,85,0,1,0,0,15,2332,0,1,7,True,False,True,2,,,,,
dep7,456,16346,158,0,1,0,1,0,0,1,0,1,137,4,4,2,True,False,True,2,,,,,
dep6,456,16439,154,0,1,0,2,0,0,1,0,0,120,4,5,3,True,False,True,2,,,,,
key10,459,27037,40977,0,1,0,1,0,1,6,7,8,40921,10,5,1,True,False,True,3,,,,,
allOfPProp4,459,27732,74,0,0,1,1,0,1,0,0,0,40,1,3,20,True,False,True,2,,,,,
allIt2,463,2877,13,0,0,1,1,0,1,0,1,0,3,1,1,2,True,False,True,2,,,,,
pnmp8,466,9343,22,0,0,1,1,0,0,1,0,0,8,2,2,4,True,False,True,2,,,,,
key9,473,30546,12149,0,0,0,1,0,1,5,5,6,12099,9,5,1,True,False,True,3,,,,,
pnmp9,500,23160,50,0,0,2,1,0,1,1,0,0,22,8,4,5,True,False,True,2,,,,,
pnmp6,502,13552,20,0,0,0,1,0,0,1,0,1,6,1,2,3,True,False,True,2,,,,,
pp3,503,7939,61,0,0,1,3,0,0,1,2,0,36,5,3,3,True,False,True,4,,,,,
string5,503,1673,1932,0,0,5,97,0,1,0,0,14,1810,0,1,3,True,False,True,2,,,,,
pnmp7,506,7894,47,0,1,1,2,0,1,2,3,1,23,2,1,2,True,False,True,3,,,,,
dep8,508,37873,407,1,0,0,1,0,0,2,0,0,358,17,9,3,True,False,True,2,,,,,
pnmp4,511,19139,29,0,0,1,2,0,1,1,0,0,11,1,1,4,True,False,True,2,,,,,
dep10,513,37512,331,0,0,1,1,0,1,2,1,0,277,17,7,7,True,False,True,2,,,,,
arr2,515,16529,71,0,1,0,2,0,1,5,3,2,34,5,2,9,True,False,True,3,,,,,
num4,517,1520,5,0,1,0,1,0,0,1,0,0,1,0,1,0,True,False,True,2,,,,,
dep9,540,41199,415,0,0,1,1,0,0,1,1,1,363,17,8,6,True,False,True,2,,,,,
allOfPProp5,551,2358,13,0,0,2,1,0,0,0,0,0,4,1,2,1,True,False,True,2,,,,,
pnmp5,551,18649,24,0,0,1,2,0,0,0,1,0,9,2,1,3,True,False,True,2,,,,,
allIt10,553,13567,64,0,0,0,0,0,2,2,2,0,37,2,5,3,True,False,True,3,,,,,
allOfPProp6,560,3187,15,0,0,2,1,0,1,1,0,0,4,1,1,2,True,False,True,2,,,,,
allIt9,589,17276,67,0,0,1,0,0,0,1,3,1,37,4,5,3,True,False,True,3,,,,,
allIt6,621,368951,42463,0,1,1,2,0,2,1,2,2,42079,265,28,12,True,False,True,3,,,,,
allIt8,654,26778,80,0,0,1,1,0,1,1,3,0,48,3,4,7,True,False,True,3,,,,,
allOfPProp7,658,6164,30,0,0,2,1,0,0,0,0,1,16,2,1,1,True,False,True,3,,,,,
allOfPProp8,671,6904,36,1,0,1,1,0,0,1,1,2,19,3,2,2,True,False,True,3,,,,,
allOfPProp10,695,18414,112,0,0,1,2,0,0,1,1,0,86,5,3,3,True,False,True,3,,,,,
pp2,697,16605,88,1,0,1,4,0,1,1,2,1,56,5,4,2,True,False,True,4,,,,,
num5,700,101778,970,0,0,1,1,0,0,1,1,3,903,7,11,3,True,False,True,3,,,,,
pp1,721,12639,77,0,1,0,6,0,1,1,1,1,47,4,2,1,True,False,True,4,,,,,
allIt3,723,7226,25,1,0,0,2,0,1,1,1,0,10,0,2,3,True,False,True,3,,,,,
allOfPProp9,735,18048,112,0,0,1,1,0,0,1,1,1,86,5,3,4,True,False,True,3,,,,,
allIt4,756,5573,38,0,0,0,1,0,1,0,1,0,26,3,2,2,True,False,True,3,,,,,
allIt7,810,894745,83217,1,0,0,2,0,1,1,3,2,82627,339,49,41,True,False,True,3,,,,,
allIt5,835,617139,180868,0,1,0,1,0,2,1,2,1,180119,550,44,35,True,False,True,3,,,,,
mod3011,1034,17228,102,0,0,0,0,0,1,1,0,1,65,6,7,9,True,False,True,3,,,,,
pp4,1108,13718,81,0,0,1,6,0,1,2,4,2,46,3,3,3,True,False,True,4,,,,,
mod307,1197,53585,357,0,0,1,0,0,0,2,1,2,276,18,22,12,True,False,True,3,,,,,
mod3010,1204,16095,59,0,0,0,1,0,1,1,0,2,36,4,3,2,True,False,True,3,,,,,
mod302,1442,82359,1476,0,0,1,11,0,2,23,12,9,1224,22,11,80,True,False,True,6,,,,,
mod303,1529,100982,1023,0,0,1,18,0,3,39,16,7,744,16,14,102,True,False,True,4,,,,,
mod305,1775,164242,1856,0,1,0,23,0,4,40,19,11,1314,32,26,266,True,False,True,4,,,,,
mod308,1777,372586,28251,1,0,1,1,0,1,3,8,19,26064,125,1539,345,True,False,True,3,,,,,
mod309,1810,299299,19287,0,0,0,20,0,3,38,17,10,18598,22,292,161,True,False,True,4,,,,,
mod306,1834,139983,1955,0,0,1,4,0,3,10,15,10,1529,51,15,195,True,False,True,7,,,,,
mod301,1901,192028,2135,1,0,0,133,0,12,229,45,16,1468,33,14,40,True,False,True,4,,,,,
mod30,1901,192345,2062,0,0,0,138,0,13,242,48,17,1345,34,12,71,True,False,True,4,,,,,
mod304,2121,109581,1441,0,1,0,25,0,4,43,16,7,1175,18,12,71,True,False,True,4,,,,,
eqmulok1,390,1967,1100,66,664,19,39,0,47,10,17,11,9,3,144,5,True,False,True,2,,08072022_091551,0.0,12f514a426aaf93bc57ec9a674b424a3e4acdf67,pcattouche
eqmulok2,598,2865,39,1,0,0,1,0,3,6,5,1,2,2,5,3,True,False,True,2,,,,,
eqnmn1,970,3848,28,0,0,1,1,0,2,4,4,1,2,1,4,2,True,False,True,2,,,,,
iiok4,1087,1666,17,1,0,1,1,0,1,3,0,0,1,1,3,1,True,False,True,2,,,,,
mini4.2,1184,3713,22,0,0,1,1,0,1,3,2,2,1,1,4,1,True,False,True,2,,,,,
imax4.2,1184,3713,21,0,1,0,2,0,1,3,2,0,1,1,3,1,True,False,True,2,,,,,
mini4.1,1185,3715,21,1,0,0,1,0,1,2,2,1,1,0,4,1,True,False,True,2,,,,,
imax4.1,1185,3715,20,0,1,0,1,0,1,3,2,1,1,0,3,2,True,False,True,2,,,,,
iemax4.1,1194,3715,20,0,1,0,1,0,1,3,2,1,1,0,3,1,True,False,True,2,,,,,
emini4.2,1194,3713,19,0,0,1,1,0,1,2,1,1,2,1,3,1,True,False,True,2,,,,,
iemax4.2,1194,3713,19,0,1,0,1,0,1,3,3,1,2,1,2,1,True,False,True,2,,,,,
emini4.1,1194,3715,18,0,0,1,1,0,1,2,1,1,1,1,3,1,True,False,True,2,,,,,
mm4.2,1203,4691,21,0,0,1,1,0,1,2,2,2,1,1,3,1,True,False,True,2,,,,,
mm4.1,1205,4693,22,1,0,0,1,0,1,3,2,1,2,1,3,1,True,False,True,2,,,,,
emm4.2,1212,4153,20,0,0,0,1,0,1,2,2,1,1,1,2,1,True,False,True,2,,,,,
mem4.2,1212,4153,21,0,1,0,1,0,1,3,2,1,2,1,3,1,True,False,True,2,,,,,
emm4.1,1214,4155,21,1,0,0,1,0,1,3,3,1,1,1,3,2,True,False,True,2,,,,,
mem4.1,1214,4155,19,0,0,1,1,0,1,2,2,1,2,1,3,1,True,False,True,2,,,,,
emem4.2,1221,4686,20,0,0,1,1,0,1,3,3,2,1,1,3,1,True,False,True,2,,,,,
emem4.1,1223,4688,25,0,1,0,1,0,1,2,2,2,2,1,5,2,True,False,True,2,,,,,
eqnmn4,1239,4693,29,0,0,1,2,0,2,4,3,1,2,1,4,2,True,False,True,2,,,,,
oneof6,88,637,1431,69,1070,10,38,0,2,18,0,3,15,0,137,3,True,False,True,2,,06072022_194526,0.0,e7a53cdb3acae12ee90a7c50b32e6f33c4c3a562,pcattouche
oneof12,96,574,24,1,0,1,1,0,0,4,0,0,3,0,3,1,True,False,True,2,,,,,
notnames1,142,630,45,0,1,3,8,0,1,2,4,0,2,0,3,19,True,False,True,2,,,,,
oneof10,172,1303,29,0,1,0,1,0,0,6,0,0,9,1,3,1,True,False,True,2,,,,,
oneof5,235,2367,39,0,1,0,2,0,1,6,0,0,16,1,4,1,True,False,True,2,,,,,
oneof11,236,2396,39,0,1,0,2,0,0,5,1,1,14,1,2,6,True,False,True,2,,,,,
oneof13,244,2230,32,0,0,0,1,0,0,3,0,1,11,2,4,3,True,False,True,2,,,,,
test,250,443,18,0,1,1,3,0,0,2,0,0,0,0,3,1,True,False,False,2,,,,,
oneof9,272,3185,49,1,0,1,2,0,1,5,0,0,20,1,4,4,True,False,True,2,,,,,
notnames2,295,1101,17,1,1,1,2,0,0,0,0,4,1,1,1,3,True,False,True,2,,,,,
oneof8,332,2396,27,0,0,0,1,0,0,4,0,1,11,0,2,1,True,False,True,2,,,,,
itemscontains2,358,3121,49,0,3,1,2,0,7,2,2,2,11,2,7,2,True,False,True,3,,,,,
itemscontains1,358,2901,28,1,0,0,1,0,0,2,2,0,8,2,3,2,True,False,True,3,,,,,
oneof1,369,8994,254,0,1,0,2,0,3,13,10,2,184,5,9,1,True,False,True,3,,,,,
oneof2,400,8211,309,0,0,0,2,0,2,8,8,1,180,29,63,5,True,False,True,3,,,,,
object4,414,1905,52,0,1,8,2,0,0,1,0,1,28,0,2,4,True,False,True,2,,,,,
oneof3,423,7973,222,0,0,1,2,0,3,11,9,2,171,2,7,2,True,False,True,3,,,,,
object3,476,4384,64,0,0,2,3,0,0,1,1,0,44,2,3,4,True,False,True,3,,,,,
object1,476,3872,93,1,0,1,2,0,0,1,1,1,62,1,2,20,True,False,True,3,,,,,
object2,477,2446,33,0,0,2,1,0,0,0,1,0,11,0,2,12,True,False,True,2,,,,,
notnames4,499,1836,16,1,0,4,1,0,0,0,0,0,1,0,1,2,True,False,True,2,,,,,
oneofitemscontains2,501,5012,51,0,0,0,0,0,1,10,1,1,18,2,8,1,True,False,True,3,,,,,
oneofanyofitc2,501,4020,23,0,0,1,0,0,1,1,0,0,7,1,5,1,True,False,True,3,,,,,
oneofanyofitc1,501,5032,28,0,0,0,1,0,0,2,0,1,11,2,6,2,True,False,True,3,,,,,
oneofitemscontains1,501,5009,27,0,0,0,1,0,1,1,1,1,10,2,5,1,True,False,True,3,,,,,
notnames5,506,2687,21,0,0,1,3,0,0,1,0,2,8,2,1,3,True,False,True,2,,,,,
oneofanyofitc3,519,3726,24,1,0,0,0,0,0,1,0,1,8,2,4,1,True,False,True,4,,,,,
oneofitemscontains4,519,3706,24,0,0,1,0,0,1,1,1,2,9,2,3,1,True,False,True,4,,,,,
oneofanyofitc4,519,3692,21,0,0,0,1,0,0,1,0,0,8,1,4,1,True,False,True,3,,,,,
oneofitemscontains3,519,3707,24,0,1,0,0,0,0,2,0,1,8,2,3,1,True,False,True,4,,,,,
object5,539,8645,43,1,0,1,1,0,0,1,0,1,29,0,1,5,True,False,True,2,,,,,
notnames6,542,2713,17,0,0,1,2,0,1,0,0,1,7,1,1,2,True,False,True,2,,,,,
oneofitc2,609,6225,1713,0,0,1,1,0,1,7,1,0,1688,2,1,1,True,False,True,3,,,,,
oneofitc4,627,6231,2080,1,0,0,2,0,2,8,0,2,2050,2,3,1,True,False,True,3,,,,,
object6,658,79962,158,0,1,2,2,0,1,1,0,1,57,3,5,63,True,False,True,2,,,,,
oneofpr1,659,7283,392,1,0,2,2,0,0,1,0,1,349,4,9,10,True,False,True,4,,,,,
oneofpr4,659,5885,159,0,0,3,2,0,1,3,1,1,117,6,7,7,True,False,True,4,,,,,
oneofpr3,659,7229,330,0,0,2,3,0,0,2,0,0,294,4,6,5,True,False,True,4,,,,,
oneofpr2,673,6613,111,0,0,2,1,0,0,1,1,2,83,5,5,6,True,False,True,4,,,,,
oneofitemscontains5,684,5308,30,0,0,0,1,0,0,2,0,1,13,3,4,1,True,False,True,4,,,,,
oneofanyofitc5,684,5900,28,0,0,0,1,0,1,1,1,0,13,1,5,2,True,False,True,3,,,,,
oneofanyofitc8,686,5585,26,1,0,0,1,0,0,1,0,0,11,2,5,1,True,False,True,3,,,,,
oneofitemscontains8,686,5783,28,0,0,0,1,0,1,1,1,0,11,1,5,3,True,False,True,3,,,,,
oneofanyofitc7,687,5585,24,0,0,0,1,0,1,1,1,1,10,1,4,1,True,False,True,3,,,,,
oneofitemscontains7,687,5783,28,0,0,0,1,0,1,1,1,1,12,1,4,1,True,False,True,3,,,,,
oneofitemscontains6,690,5873,27,0,0,0,1,0,1,1,1,1,12,1,4,2,True,False,True,3,,,,,
oneofanyofitc6,690,5322,24,1,0,0,1,0,0,1,0,0,10,2,4,1,True,False,True,3,,,,,
object7,729,71714,98,0,0,1,2,0,1,0,0,1,53,3,4,17,True,False,True,2,,,,,
allany1,736,1363,3,0,0,0,0,0,0,0,0,1,0,0,0,0,True,False,True,2,,,,,
allone1,736,2760,11,0,0,0,1,0,0,1,0,1,7,0,0,0,True,False,True,2,,,,,
object8,773,393742,309,0,0,8,2,0,0,1,0,0,153,19,16,29,True,False,True,2,,,,,
notnames7,778,20297,58,0,0,6,2,0,0,1,0,2,35,4,2,3,True,False,True,2,,,,,
oneofpr5,854,8563,94,1,0,1,1,0,0,1,0,0,67,4,5,5,True,False,True,4,,,,,
oneofpr7,864,8702,86,0,1,1,1,0,0,1,0,1,57,3,5,4,True,False,True,4,,,,,
oneofpr8,864,8622,81,0,0,1,2,0,1,2,2,0,54,6,5,4,True,False,True,4,,,,,
oneofpr6,885,9729,95,0,0,1,2,0,0,2,0,0,65,6,6,4,True,False,True,4,,,,,
allany7,920,1619,4,1,0,0,0,0,0,1,0,0,1,0,0,0,True,False,True,2,,,,,
allany8,920,3778,28,0,0,0,1,0,0,1,0,0,22,0,0,1,True,False,True,2,,,,,
allone2,946,3662,23,0,0,0,1,0,0,1,0,1,18,0,0,0,True,False,True,2,,,,,
allany2,946,1555,4,1,0,0,0,0,0,1,0,1,1,0,0,0,True,False,True,2,,,,,
allany9,970,1551,4,0,1,0,0,0,0,1,1,0,1,0,0,0,True,False,True,2,,,,,
allany4,1016,1657,4,0,0,1,0,0,0,1,0,0,1,0,0,0,True,False,True,2,,,,,
allone4,1016,3717,27,0,1,0,0,0,1,1,0,0,21,0,1,0,True,False,True,2,,,,,
allany21,1035,3107,11,1,0,2,2,0,0,1,0,1,2,0,1,0,True,False,True,2,,,,,
allany6,1090,1896,5,0,0,1,0,0,0,1,0,0,1,1,0,0,True,False,True,2,,,,,
object9,1140,131525,7251,0,1,2,3,0,1,2,1,1,7183,7,5,6,True,False,True,3,,,,,
object10,1163,682144,2403,1,0,1,2,0,1,1,1,0,2112,27,34,73,True,False,True,3,,,,,
allany11,1382,4239,17,0,0,0,1,0,0,0,0,0,5,0,3,4,True,False,True,2,,,,,
allany12,1428,5206,352,0,1,3,7,0,1,1,0,1,327,5,5,0,True,False,True,2,,,,,
allany13,1471,2539,1063,0,0,3,5,0,1,1,0,1,1051,0,0,0,True,False,True,2,,,,,
notnames9,1644,149436,1157,0,1,1,3,0,0,1,0,1,967,6,9,139,True,False,True,3,,,,,
notnames10,1789,42225,1038,0,1,1,4,0,0,1,1,2,993,5,4,5,True,False,True,4,,,,,
allany15,2161,10812,2474,0,1,3,10,0,0,2,0,4,2447,1,1,0,True,False,True,2,,,,,
allany19,2165,10449,9778,0,0,3,8,0,2,1,0,4,9735,6,5,12,True,False,True,2,,,,,
allany16,2207,12499,5100,0,0,3,7,0,1,1,0,2,5068,4,8,0,True,False,True,2,,,,,
allany14,2212,8018,46635,0,1,5,7,0,1,1,0,3,46611,1,2,1,True,False,True,2,,,,,
allany22,2280,5800,596,0,0,2,7,0,2,1,0,2,574,2,2,0,True,False,True,2,,,,,
allany17,2342,8971,13905,0,0,3,12,0,3,2,1,6,13130,1,0,745,True,False,True,2,,,,,
allany20,2367,11318,1011,0,0,3,12,0,2,3,0,6,974,2,1,2,True,False,True,2,,,,,
allany23,2379,8852,1479,0,0,3,8,0,1,2,0,4,1457,1,1,0,True,False,True,2,,,,,
