objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
pNameFalse,63,1264,386,862,5,true,false
string1,81,1095,443,163,489,true,false
existsName1,85,119,3,115,1,true,false
test,104,127,4,122,1,true,true
num0,150,5,StandardGenerationException,,,,
dep1,156,123,4,118,1,true,true
oneOf1,178,130,5,124,1,true,false
oneOf2,180,130,5,124,0,true,false
string2,180,419,4,104,311,true,false
key1,206,98,3,93,2,true,false
key2,226,97,3,93,1,true,true
dep2,229,96,5,90,1,true,true
test.NoType,248,107,3,101,3,true,true
oneOf3,250,85,2,82,1,true,false
dep3,254,87,2,83,1,true,false
pnmp10,257,105,2,96,7,true,false
pnmp1,257,102,2,99,1,true,false
key3,261,89,3,85,1,true,false
allOfPProp2,277,3,StandardGenerationException,,,,
oneOf10,284,85,2,82,1,true,false
oneOf8,291,2,StandardGenerationException,,,,
allOfPProp1,313,3,StandardGenerationException,,,,
oneOf5,317,97,2,95,0,true,false
num2,324,82,2,79,0,true,false
oneOf7,331,3,StandardGenerationException,,,,
oneOf6,332,2,StandardGenerationException,,,,
dep4,364,2,StandardGenerationException,,,,
dep5,364,2,StandardGenerationException,,,,
num1,365,2,StandardGenerationException,,,,
allOfPProp3,365,2,StandardGenerationException,,,,
pnmp2,368,83,1,81,0,true,false
key5,369,80,2,78,0,true,true
oneOf9,375,2,StandardGenerationException,,,,
num3,382,79,3,76,0,true,false
key8,403,83,2,80,1,true,false
arr1,404,2,StandardGenerationException,,,,
string3,409,400,3,76,321,true,false
key7,409,75,2,73,0,true,false
length,409,78,2,76,0,true,true
key6,416,73,2,70,1,true,true
allIt1,426,2,StandardGenerationException,,,,
oneOf4,432,71,2,69,0,true,false
pnmp3,439,80,2,78,0,true,false
key4,453,84,2,80,1,true,true
string4,455,370,2,76,292,true,false
dep7,456,2,StandardGenerationException,,,,
dep6,456,1,StandardGenerationException,,,,
key10,459,77,2,75,0,true,false
allOfPProp4,459,2,StandardGenerationException,,,,
allIt2,463,2,StandardGenerationException,,,,
pnmp8,466,2,StandardGenerationException,,,,
key9,473,73,2,71,0,true,false
pnmp9,500,3,StandardGenerationException,,,,
pnmp6,502,90,3,87,0,true,false
pp3,503,26,StandardGenerationException,,,,
string5,503,70,2,68,0,true,false
pnmp7,506,3,StandardGenerationException,,,,
dep8,508,2,StandardGenerationException,,,,
pnmp4,511,76,2,74,0,true,false
dep10,513,185,2,68,115,true,false
arr2,515,2,StandardGenerationException,,,,
num4,517,70,2,68,0,true,false
dep9,540,174,3,68,102,true,false
allOfPProp5,551,3,StandardGenerationException,,,,
allIt10,553,3,StandardGenerationException,,,,
allOfPProp6,560,3,StandardGenerationException,,,,
allIt9,589,2,StandardGenerationException,,,,
allIt6,621,3,StandardGenerationException,,,,
allIt8,654,2,StandardGenerationException,,,,
allOfPProp7,658,3,StandardGenerationException,,,,
allOfPProp8,671,3,StandardGenerationException,,,,
allOfPProp10,695,3,StandardGenerationException,,,,
pp2,697,2,StandardGenerationException,,,,
num5,700,3,StandardGenerationException,,,,
pp1,721,3,StandardGenerationException,,,,
allIt3,723,2,StandardGenerationException,,,,
allOfPProp9,735,3,StandardGenerationException,,,,
allIt4,756,2,StandardGenerationException,,,,
allIt7,810,3,StandardGenerationException,,,,
allIt5,835,2,StandardGenerationException,,,,
pp4,1108,2,StandardGenerationException,,,,
mod307,1197,2,StandardGenerationException,,,,
mod3010,1204,2,StandardGenerationException,,,,
mod302,1442,68,3,64,1,true,false
mod303,1529,64,2,61,1,true,false
mod305,1775,2,StandardGenerationException,,,,
mod308,1777,2,StandardGenerationException,,,,
mod309,1810,3,StandardGenerationException,,,,
mod306,1834,1,StandardGenerationException,,,,
mod301,1901,60,2,57,0,true,false
mod30,1901,66,3,62,1,true,false
mod304,2121,86,3,82,1,true,false
