objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
emptyeqmul2,672,99,29,65,5,true,false
emptyii3,765,89,29,55,5,true,false
emptyim3,822,96,29,61,5,true,false
emptymi3,822,87,33,49,4,true,false
emptymm3,843,100,33,59,7,true,false
emptyeqnmn4,1115,94,46,41,7,true,false
emptymm3.2,1482,29,StandardGenerationException,,,,
emptyem5,1786,23,StandardGenerationException,,,,
emptyoneof7,113,76,StandardGenerationException,,,,
emptyoneof16,115,66,StandardGenerationException,,,,
emptyoneof17,123,59,StandardGenerationException,,,,
emptyoneof12,197,190,74,113,3,true,false
emptyoneof11,221,193,87,105,1,true,false
emptyoneof18,275,193,109,83,1,true,false
emptyoneof14,297,188,58,127,2,true,false
emptyoneof13,305,127,62,64,1,true,false
emptyoneof10,322,159,66,91,2,true,false
emptyoneof15,380,248,174,72,1,true,false
oneof4,441,84,StandardGenerationException,,,,
emptynotnames3,503,320,200,120,0,true,false
emptyoneofitc1,609,69,StandardGenerationException,,,,
emptyoneofitc3,627,77,StandardGenerationException,,,,
emptyoneofitc5,792,55,StandardGenerationException,,,,
emptyoneofitc8,832,69,StandardGenerationException,,,,
emptyoneofitc7,832,56,StandardGenerationException,,,,
emptyoneofitc6,852,64,StandardGenerationException,,,,
emptyallone3,999,130,71,55,4,true,false
emptyallany3,999,162,68,91,3,true,false
emptyallany5,1008,152,76,73,3,true,false
emptynotnames8,1289,267,58,208,0,true,false
emptyallany10,1447,107,StandardGenerationException,,,,
emptyrealworld12,2021,65,StandardGenerationException,,,,
emptyrealworld23,2021,66,StandardGenerationException,,,,
emptyrealworld13,2021,103,StandardGenerationException,,,,
emptyallany18,2240,135,59,75,1,true,false
emptyrealworld34,2500,92,StandardGenerationException,,,,
emptyrealworld24,2500,45,StandardGenerationException,,,,
emptyrealworld14,2500,88,StandardGenerationException,,,,
