objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
emptyoneof7,113,960,671,37,false,24,424,1,2,0,1,5,0,0,4,0,14,3,false,true,,2,,26092022_173804,0,null,76ba3b4c3347
emptyoneof16,115,803,31,11,false,0,2,0,1,0,0,2,0,0,2,0,2,0,false,true,,2,,,,,
emptyoneof17,123,909,25,11,false,0,1,0,1,0,0,3,0,0,1,1,1,1,false,true,,2,,,,,
emptyoneof12,197,2166,32,16,false,0,1,0,1,1,0,3,0,0,3,0,2,0,false,true,,2,,,,,
emptyoneof11,221,2252,101,21,false,0,1,0,1,0,0,4,1,0,6,1,1,1,false,true,,2,,,,,
emptyoneof18,275,8213,69,43,false,1,0,0,1,0,1,6,1,0,12,1,3,1,false,true,,2,,,,,
emptyoneof14,297,5165,65,36,false,0,2,0,1,0,1,4,0,0,14,0,1,1,false,true,,2,,,,,
emptyoneof13,305,3624,48,28,false,0,1,0,1,0,0,4,0,0,14,1,1,1,false,true,,2,,,,,
emptyoneof10,322,4777,38,19,false,0,0,0,1,0,0,2,0,0,6,0,2,1,false,true,,2,,,,,
emptyoneof15,380,4703,39,19,false,0,0,1,0,0,0,1,0,0,6,1,1,0,false,true,,2,,,,,
emptyoneof4,441,9469,190,130,false,1,5,0,1,0,2,7,4,2,96,2,5,2,false,true,,3,,,,,
emptynotnames3,503,2417,39,9,false,0,4,1,2,0,0,1,0,2,1,0,1,0,false,true,,2,,,,,
emptyoneofitc1,609,6040,986,953,false,0,2,0,2,0,2,8,1,0,931,0,1,1,false,true,,2,,,,,
emptyoneofitc3,627,5673,982,958,false,1,0,0,1,0,1,6,1,1,929,12,1,0,false,true,,2,,,,,
emptyeqmul2,672,3312,17,6,false,0,0,0,1,0,0,1,1,1,0,0,1,0,false,true,,2,,,,,
emptyii3,765,994,11,4,false,0,0,0,1,0,0,0,0,1,0,0,0,0,false,true,,2,,,,,
emptyoneofitc5,792,6153,862,845,false,0,1,0,2,0,1,5,1,0,828,1,0,1,false,true,,2,,,,,
emptyim3,822,1612,17,5,false,1,0,0,1,0,0,1,1,0,0,1,1,0,false,true,,2,,,,,
emptymi3,822,1612,15,4,false,0,1,0,0,0,0,0,1,0,0,0,0,0,false,true,,2,,,,,
emptyoneofitc7,832,7232,963,935,false,1,0,0,1,0,1,5,1,1,919,1,1,0,false,true,,2,,,,,
emptyoneofitc8,832,7232,891,866,false,0,2,0,1,0,1,5,1,0,851,1,0,1,false,true,,2,,,,,
emptymm3,843,2172,18,6,false,1,1,0,1,0,0,1,1,0,0,0,1,0,false,true,,2,,,,,
emptyoneofitc6,852,7871,1051,1031,false,0,0,0,1,0,1,5,1,1,1011,1,1,0,false,true,,2,,,,,
emptyallany3,999,1761,18,6,false,1,0,1,1,0,1,0,0,1,1,1,0,0,false,true,,3,,,,,
emptyallone3,999,4510,30,24,false,0,1,0,1,0,0,2,0,1,17,2,0,1,false,true,,3,,,,,
emptyallany5,1008,2177,10,4,false,0,0,0,1,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
emptyeqnmn4,1115,4840,19,7,false,0,0,0,1,0,0,1,0,1,0,0,1,1,false,true,,2,,,,,
emptynotnames8,1289,71462,484,204,false,0,2,3,2,0,0,0,1,2,24,0,4,31,false,true,,2,,,,,
emptyallany10,1447,6353,29,10,false,1,0,0,1,0,0,1,0,0,3,1,2,1,false,true,,2,,,,,
emptymm3.2,1482,7828,21,8,false,0,1,0,1,0,1,1,1,1,0,0,1,0,false,true,,2,,,,,
emptyem5,1786,12001,68,28,false,0,1,0,1,0,0,1,0,2,18,0,1,1,false,true,,2,,,,,
emptyrealworld12,2021,21704,118,73,false,1,0,3,5,0,0,1,1,1,30,1,3,12,false,true,,2,,,,,
emptyrealworld13,2021,17550,83,52,false,1,0,2,5,0,0,1,1,0,20,0,2,7,false,true,,2,,,,,
emptyrealworld23,2021,16565,80,49,false,1,0,2,5,0,1,1,0,1,19,1,3,7,false,true,,2,,,,,
emptyallany18,2240,10251,302,168,false,1,1,4,9,0,2,1,0,3,143,1,1,0,false,true,,2,,,,,
emptyrealworld14,2500,17994,96,58,false,0,0,3,11,0,1,1,0,2,20,1,2,6,false,true,,2,,,,,
emptyrealworld24,2500,16839,88,53,false,0,1,2,10,0,0,1,0,0,18,1,2,6,false,true,,2,,,,,
emptyrealworld34,2500,13738,78,45,false,0,0,2,10,0,0,1,0,0,14,1,2,5,false,true,,2,,,,,
