objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
kb_503_Normalized,123,485,90,213,3,true,true
kb_504_Normalized,123,109,11,98,0,true,true
kb_505_Normalized,123,58,8,50,0,true,true
kb_659_Normalized,135,55,6,47,1,true,true
kb_660_Normalized,135,49,6,43,0,true,true
kb_562_Normalized,137,43,7,35,0,true,true
kb_563_Normalized,137,41,7,34,0,true,true
kb_500_Normalized,158,55,7,47,0,true,true
kb_501_Normalized,158,73,6,66,0,true,true
kb_502_Normalized,158,37,5,30,1,true,true
kb_491_Normalized,188,35,4,30,0,true,true
kb_492_Normalized,188,36,5,31,0,true,true
kb_493_Normalized,188,32,5,27,0,true,true
kb_497_Normalized,197,35,5,29,0,true,true
kb_498_Normalized,197,36,6,30,0,true,true
kb_499_Normalized,197,39,5,34,0,true,true
kb_958_Normalized,242,36,7,29,0,true,true
kb_959_Normalized,242,33,5,26,1,true,true
kb_960_Normalized,242,32,5,26,1,true,true
kb_1062_Normalized,246,38,5,31,1,true,true
kb_1063_Normalized,246,39,7,32,0,true,true
kb_870_Normalized,337,42,13,28,0,true,true
kb_871_Normalized,337,30,4,26,0,true,true
kb_872_Normalized,337,33,5,26,1,true,true
kb_919_Normalized,351,31,6,23,2,true,true
kb_916_Normalized,361,27,4,21,1,true,true
kb_917_Normalized,361,32,7,24,0,true,true
kb_918_Normalized,362,28,4,24,0,true,true
kb_920_Normalized,362,26,4,22,0,true,true
kb_11_Normalized,382,30,5,24,1,true,true
kb_12_Normalized,382,37,5,31,0,true,true
kb_7_Normalized,385,27,4,23,0,true,true
kb_8_Normalized,385,27,5,22,0,true,true
kb_9_Normalized,385,26,5,21,0,true,true
kb_223_Normalized,391,27,5,22,0,true,true
kb_224_Normalized,391,27,5,22,0,true,true
kb_339_Normalized,396,26,4,21,0,true,true
kb_340_Normalized,396,30,11,18,0,true,true
kb_341_Normalized,396,22,4,18,0,true,true
kb_1092_Normalized,398,44,4,40,0,true,true
kb_1093_Normalized,398,28,7,19,1,true,true
kb_703_Normalized,399,35,4,30,0,true,true
kb_704_Normalized,399,27,6,21,0,true,true
kb_463_Normalized,402,24,4,19,0,true,true
kb_464_Normalized,402,23,4,18,1,true,true
kb_715_Normalized,417,23,4,19,0,true,true
kb_716_Normalized,417,22,4,18,0,true,true
kb_705_Normalized,437,21,4,17,0,true,true
kb_706_Normalized,437,23,3,19,0,true,true
kb_360_Normalized,440,22,3,18,0,true,true
kb_361_Normalized,440,22,4,18,0,true,true
kb_883_Normalized,441,30,4,26,0,true,true
kb_541_Normalized,444,22,3,19,0,true,true
kb_542_Normalized,444,27,4,23,0,true,true
kb_10_Normalized,447,34,5,28,0,true,true
kb_772_Normalized,447,26,5,21,0,true,true
kb_773_Normalized,447,36,8,28,0,true,true
kb_882_Normalized,461,25,5,20,0,true,true
kb_884_Normalized,461,31,5,26,0,true,true
kb_885_Normalized,461,29,5,24,0,true,true
kb_217_Normalized,500,30,5,25,0,true,true
kb_218_Normalized,500,23,4,18,1,true,true
kb_219_Normalized,500,23,3,18,1,true,true
kb_333_Normalized,500,23,4,19,0,true,true
kb_334_Normalized,500,22,3,17,1,true,true
kb_1056_Normalized,515,22,3,18,0,true,true
kb_1057_Normalized,515,22,4,18,0,true,true
kb_297_Normalized,518,22,4,18,0,true,true
kb_298_Normalized,518,23,4,19,0,true,true
kb_299_Normalized,518,24,6,18,0,true,true
kb_383_Normalized,523,22,4,18,0,true,true
kb_384_Normalized,523,23,4,19,0,true,true
kb_754_Normalized,524,22,4,18,0,true,true
kb_755_Normalized,524,26,4,21,0,true,true
kb_423_Normalized,526,25,5,19,1,true,true
kb_424_Normalized,526,24,4,19,1,true,true
kb_131_Normalized,527,23,4,19,0,true,true
kb_132_Normalized,527,25,5,19,0,true,true
kb_81_Normalized,531,23,3,20,0,true,true
kb_82_Normalized,531,24,4,20,0,true,true
kb_634_Normalized,551,25,4,20,0,true,true
kb_635_Normalized,551,24,4,20,0,true,true
kb_636_Normalized,551,24,4,20,0,true,true
kb_608_Normalized,559,23,3,20,0,true,true
kb_609_Normalized,559,25,4,20,0,true,true
kb_41_Normalized,584,28,5,23,0,true,true
kb_42_Normalized,584,24,4,18,1,true,true
kb_579_Normalized,591,26,4,22,0,true,true
kb_580_Normalized,591,24,5,19,0,true,true
kb_432_Normalized,613,23,4,18,0,true,true
kb_433_Normalized,613,23,5,17,1,true,true
kb_943_Normalized,613,22,4,17,1,true,true
kb_944_Normalized,613,21,3,18,0,true,true
kb_642_Normalized,618,23,5,18,0,true,true
kb_643_Normalized,618,23,3,19,0,true,true
kb_1155_Normalized,641,24,4,20,0,true,true
kb_1156_Normalized,641,24,4,19,0,true,true
kb_1125_Normalized,648,22,4,18,0,true,true
kb_1126_Normalized,648,23,4,19,0,true,true
kb_431_Normalized,668,24,4,20,0,true,true
kb_410_Normalized,684,24,4,20,0,true,true
kb_411_Normalized,684,25,5,20,0,true,true
kb_1136_Normalized,687,23,3,20,0,true,true
kb_1137_Normalized,687,23,4,19,0,true,true
kb_974_Normalized,687,23,4,19,0,true,true
kb_975_Normalized,687,23,3,19,0,true,true
kb_681_Normalized,688,24,5,19,0,true,true
kb_682_Normalized,688,23,4,19,0,true,true
kb_1135_Normalized,697,24,4,20,0,true,true
kb_415_Normalized,703,25,5,20,0,true,true
kb_416_Normalized,703,23,4,19,0,true,true
kb_935_Normalized,708,23,4,19,0,true,true
kb_936_Normalized,708,23,4,18,0,true,true
kb_537_Normalized,711,31,3,27,0,true,true
kb_538_Normalized,711,42,13,29,0,true,true
kb_107_Normalized,720,21,3,17,0,true,true
kb_108_Normalized,720,21,4,17,0,true,true
kb_61_Normalized,736,21,4,17,0,true,true
kb_62_Normalized,736,21,4,17,0,true,true
kb_358_Normalized,747,21,3,17,0,true,true
kb_359_Normalized,747,20,3,16,0,true,true
kb_350_Normalized,757,21,4,17,0,true,true
kb_351_Normalized,757,22,5,17,0,true,true
kb_121_Normalized,764,21,3,17,0,true,true
kb_122_Normalized,764,22,4,18,0,true,true
kb_414_Normalized,764,22,4,17,0,true,true
kb_109_Normalized,767,25,4,21,0,true,true
kb_110_Normalized,767,27,5,22,0,true,true
kb_385_Normalized,770,22,4,18,0,true,true
kb_386_Normalized,770,22,4,18,0,true,true
kb_352_Normalized,775,22,4,18,0,true,true
kb_353_Normalized,775,22,3,17,1,true,true
kb_744_Normalized,777,22,4,18,0,true,true
kb_745_Normalized,777,23,4,19,0,true,true
kb_127_Normalized,793,39,21,18,0,true,true
kb_128_Normalized,793,23,5,18,0,true,true
kb_866_Normalized,796,21,4,17,0,true,true
kb_867_Normalized,796,20,3,17,0,true,true
kb_868_Normalized,796,20,4,16,0,true,true
kb_869_Normalized,796,22,4,18,0,true,true
kb_337_Normalized,805,20,4,16,0,true,true
kb_338_Normalized,805,22,4,18,0,true,true
kb_412_Normalized,808,20,4,16,0,true,true
kb_413_Normalized,808,20,4,16,0,true,true
kb_966_Normalized,819,21,4,16,0,true,true
kb_967_Normalized,819,21,3,17,1,true,true
kb_937_Normalized,825,21,3,17,0,true,true
kb_938_Normalized,825,20,4,16,0,true,true
kb_546_Normalized,827,21,4,17,0,true,true
kb_547_Normalized,827,21,4,17,0,true,true
kb_1081_Normalized,831,21,4,17,0,true,true
kb_1082_Normalized,831,21,4,17,0,true,true
kb_986_Normalized,837,21,4,17,0,true,true
kb_987_Normalized,837,21,4,17,0,true,true
kb_989_Normalized,837,21,4,17,0,true,true
kb_55_Normalized,849,21,4,17,0,true,true
kb_56_Normalized,849,22,4,18,0,true,true
kb_59_Normalized,858,23,4,19,0,true,true
kb_60_Normalized,858,24,4,17,0,true,true
kb_923_Normalized,881,22,4,18,0,true,true
kb_925_Normalized,881,22,5,17,0,true,true
kb_14_Normalized,896,20,4,16,0,true,true
kb_15_Normalized,896,21,4,17,0,true,true
kb_155_Normalized,912,22,5,17,0,true,true
kb_156_Normalized,912,21,4,17,0,true,true
kb_157_Normalized,912,21,4,17,0,true,true
kb_158_Normalized,912,21,3,17,1,true,true
kb_654_Normalized,914,24,6,17,1,true,true
kb_655_Normalized,914,22,5,17,0,true,true
kb_656_Normalized,914,23,6,17,0,true,true
kb_1073_Normalized,937,22,4,17,0,true,true
kb_1074_Normalized,937,21,3,18,0,true,true
kb_1075_Normalized,937,20,3,16,0,true,true
kb_752_Normalized,948,19,3,16,0,true,true
kb_753_Normalized,948,19,3,16,0,true,true
kb_618_Normalized,949,21,5,16,0,true,true
kb_619_Normalized,949,21,4,16,0,true,true
kb_679_Normalized,950,19,3,16,0,true,true
kb_680_Normalized,950,19,3,16,0,true,true
kb_961_Normalized,950,19,4,15,0,true,true
kb_962_Normalized,950,20,3,16,1,true,true
kb_13_Normalized,959,20,4,16,0,true,true
kb_673_Normalized,964,19,3,15,1,true,true
kb_674_Normalized,964,18,3,15,0,true,true
kb_1087_Normalized,975,20,4,16,0,true,true
kb_1088_Normalized,975,20,4,16,0,true,true
kb_1060_Normalized,1042,20,4,16,0,true,true
kb_1061_Normalized,1042,23,5,17,1,true,true
kb_639_Normalized,1046,22,4,18,0,true,true
kb_640_Normalized,1046,26,5,21,0,true,true
kb_641_Normalized,1046,26,6,19,0,true,true
kb_417_Normalized,1054,30,5,25,0,true,true
kb_418_Normalized,1054,24,5,19,0,true,true
kb_1068_Normalized,1069,27,8,18,1,true,true
kb_1069_Normalized,1069,21,4,17,0,true,true
kb_472_Normalized,1073,20,2,17,0,true,true
kb_473_Normalized,1073,21,4,17,0,true,true
kb_1128_Normalized,1077,21,4,17,0,true,true
kb_1127_Normalized,1078,23,5,18,0,true,true
kb_1129_Normalized,1078,22,3,17,1,true,true
kb_1130_Normalized,1078,23,4,19,0,true,true
kb_599_Normalized,1078,22,4,17,0,true,true
kb_600_Normalized,1078,22,4,18,0,true,true
kb_994_Normalized,1094,22,5,17,0,true,true
kb_995_Normalized,1094,23,4,18,0,true,true
kb_604_Normalized,1097,21,3,18,0,true,true
kb_605_Normalized,1097,23,4,19,0,true,true
kb_100_Normalized,1098,22,3,17,1,true,true
kb_99_Normalized,1098,21,3,17,0,true,true
kb_471_Normalized,1100,21,3,17,1,true,true
kb_53_Normalized,1112,20,3,17,0,true,true
kb_54_Normalized,1112,22,4,17,1,true,true
kb_1140_Normalized,1123,21,3,18,0,true,true
kb_1141_Normalized,1123,21,4,17,0,true,true
kb_904_Normalized,1142,23,5,17,0,true,true
kb_905_Normalized,1142,23,3,19,0,true,true
kb_906_Normalized,1142,40,4,35,1,true,true
kb_984_Normalized,1145,19,3,16,0,true,true
kb_985_Normalized,1145,19,3,16,0,true,true
kb_982_Normalized,1148,19,3,16,0,true,true
kb_983_Normalized,1148,19,3,16,0,true,true
kb_988_Normalized,1148,18,3,15,0,true,true
kb_381_Normalized,1153,19,3,16,0,true,true
kb_382_Normalized,1153,19,3,16,0,true,true
kb_460_Normalized,1157,20,3,16,1,true,true
kb_461_Normalized,1162,19,3,16,0,true,true
kb_462_Normalized,1162,20,4,16,0,true,true
kb_1159_Normalized,1181,19,3,15,0,true,true
kb_1160_Normalized,1181,21,4,16,1,true,true
kb_827_Normalized,1206,20,3,17,0,true,true
kb_828_Normalized,1206,21,4,17,0,true,true
kb_331_Normalized,1213,21,3,17,0,true,true
kb_506_Normalized,1221,20,3,16,0,true,true
kb_507_Normalized,1221,48,3,43,1,true,true
kb_598_Normalized,1234,25,5,19,1,true,true
kb_377_Normalized,1238,22,3,19,0,true,true
kb_378_Normalized,1238,23,4,18,0,true,true
kb_929_Normalized,1247,21,3,18,0,true,true
kb_930_Normalized,1247,22,3,17,1,true,true
kb_1022_Normalized,1280,22,3,18,1,true,true
kb_1023_Normalized,1280,22,4,18,0,true,true
kb_300_Normalized,1280,23,5,18,0,true,true
kb_624_Normalized,1327,22,3,18,1,true,true
kb_625_Normalized,1327,23,4,19,0,true,true
kb_510_Normalized,1333,23,4,19,0,true,true
kb_511_Normalized,1333,23,4,19,0,true,true
kb_69_Normalized,1343,23,4,19,0,true,true
