dataset,tool,success,failure,errors sat,errors unsat,median time,95 percentile,average time
GitHub,Ours,99.19,0.81,0.0,0.0,0.019,0.749,4.289
GitHub,DG,94.2,2.86,2.43,0.51,0.054,0.103,0.089
Kubernetes,Ours,100.0,0.0,0.0,0.0,0.013,0.510,0.557
Kubernetes,DG,99.54,0.0,0.0,0.46,0.078,0.144,0.088
Snowplow,Ours,99.52,0.48,0.0,NA,0.065,3.864,2.071
Snowplow,DG,94.76,0.0,5.24,NA,0.053,0.112,0.062
WashingtonPost,Ours,100.0,0.0,0.0,NA,0.042,132.69,23.349
WashingtonPost,DG,96.8,0.0,3.2,NA,0.090,0.181,0.107
Handwritten,Ours,100.0,0.0,0.0,0.0,0.070,3.063,2.593
Handwritten,DG,8.51,34.04,49.36,8.09,0.072,0.280,0.091
Containment,Ours,100.0,0.0,0.0,0.0,0.004,0.038,0.011
Containment,DG,28.78,30.88,0.07,40.27,0.051,0.119,0.060
Containment,CC,35.91,62.96,0.15,0.98,0.003,0.096,0.036
