objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
o27825,25,644,49,578,2,true,true
o67205,43,186,12,174,0,true,true
o27841,43,156,5,151,0,true,true
o89637,60,147,4,141,1,true,true
o27830,61,123,4,118,1,true,true
o35505,66,118,5,113,0,true,true
o70252,77,122,4,118,0,true,true
o31117,81,118,3,115,0,true,true
o28265,88,114,3,110,1,true,true
o24891,89,6,StandardGenerationException,,,,
o27834,96,113,3,110,0,true,true
o67689,100,105,4,101,0,true,true
o63996,105,105,3,102,0,true,true
o19978,106,97,3,94,0,true,true
o9292,109,89,2,86,0,true,true
o44862,109,86,2,84,0,true,true
o25175,112,143,61,81,0,true,true
o48514,115,87,2,84,0,true,true
o34210,121,691,357,77,256,true,true
o63500,124,86,4,82,0,true,true
o34208,130,263,7,79,176,true,true
o45630,130,110,3,106,0,true,true
o13839,131,77,3,74,0,true,true
o41627,132,126,3,123,0,true,true
o41637,132,113,4,108,1,true,true
o63326,139,3,StandardGenerationException,,,,
o83694,139,80,2,78,0,true,true
o79447,139,74,2,72,0,true,true
o9908,141,82,5,77,0,true,true
o25177,144,76,3,73,0,true,true
o41673,144,74,3,71,0,true,true
o48762,147,70,2,68,0,true,true
o63994,147,67,2,65,0,true,true
o71844,148,71,3,68,0,true,true
o36645,149,69,2,67,0,true,true
o44993,152,66,2,64,0,true,true
o45229,155,66,2,64,0,true,true
o70564,160,65,2,63,0,true,true
o25183,165,67,2,64,1,true,true
o44456,167,65,2,63,0,true,true
o76869,167,66,2,64,0,true,true
o10082,169,79,2,77,0,true,true
o41609,170,202,2,62,138,true,true
o25189,170,63,3,59,1,true,true
o25192,170,63,2,61,0,true,true
o41665,173,61,1,59,1,true,true
o82286,173,60,2,58,0,true,true
o25195,173,61,2,59,0,true,true
o41669,173,56,1,54,0,true,true
o89088,173,62,2,60,0,true,true
o25942,174,61,1,59,0,true,true
o90933,176,63,1,62,0,true,true
o80334,176,61,2,59,0,true,true
o47168,176,62,2,60,0,true,true
o34211,176,61,2,59,0,true,true
o25159,178,62,2,60,0,true,true
o77414,178,189,3,57,129,true,true
o69753,180,55,2,53,0,true,true
o10525,183,60,2,58,0,true,true
o75593,184,58,1,56,0,true,true
o41671,184,53,2,51,0,true,true
o45213,185,57,2,55,0,true,true
o41604,186,62,4,58,0,true,true
o67198,187,63,2,61,0,true,true
o17123,191,58,2,56,0,true,true
o44006,193,56,2,53,0,true,true
o78729,193,2,StandardGenerationException,,,,
o9972,194,61,2,59,0,true,true
o81745,195,74,2,72,0,true,true
o70292,195,88,2,86,0,true,true
o26951,197,62,3,59,0,true,true
o88603,202,62,2,60,0,true,true
o45634,202,57,2,55,0,true,true
o41662,202,57,2,54,1,true,true
o70327,203,201,2,55,144,true,true
o25166,203,54,3,51,0,true,true
o10021,206,52,1,51,0,true,true
o25982,208,50,2,48,0,true,true
o71845,209,56,2,54,0,true,true
o17657,210,191,2,53,136,true,true
o45633,211,56,2,54,0,true,true
o34209,211,57,2,54,0,true,true
o41667,212,55,2,53,0,true,true
o41664,212,77,2,75,0,true,true
o53538,212,65,2,63,0,true,true
o67212,213,901,2,60,839,true,true
o89645,213,53,3,50,0,true,true
o58635,213,49,2,47,0,true,true
o55684,217,47,1,46,0,true,true
o58640,219,47,2,45,0,true,true
o79654,219,45,1,44,0,true,true
o60109,219,48,1,47,0,true,true
o89151,220,51,3,47,1,true,true
o26952,220,51,2,49,0,true,true
o77740,221,48,1,47,0,true,true
o67193,221,54,2,52,0,true,true
o89680,221,53,1,51,0,true,true
o41653,222,56,1,55,0,true,true
o21079,223,56,2,54,0,true,true
o70294,223,214,2,53,158,true,true
o4366,223,54,2,51,0,true,true
o17125,224,51,2,49,0,true,true
o2060,224,2,StandardGenerationException,,,,
o57711,224,51,1,50,0,true,true
o89152,226,56,1,55,0,true,true
o24503,227,69,1,68,0,true,true
o56764,227,2,StandardGenerationException,,,,
o17675,228,55,1,54,0,true,true
o12256,229,53,1,52,0,true,true
o46560,229,52,1,50,1,true,true
o13272,229,58,2,56,0,true,true
o20469,233,53,3,50,0,true,true
o19363,234,46,2,44,0,true,true
o10089,235,51,2,49,0,true,true
o41773,236,61,2,59,0,true,true
o9790,237,47,1,45,0,true,true
o66685,237,46,1,45,0,true,true
o73935,238,44,1,43,0,true,true
o24474,238,45,1,44,0,true,true
o89135,239,166,2,59,105,true,true
o82288,240,77,2,75,0,true,true
o6021,241,52,2,50,0,true,true
o83710,242,53,2,51,0,true,true
o45635,243,57,1,56,0,true,true
o76651,243,56,6,49,0,true,true
o27832,249,51,2,49,0,true,true
o41655,249,56,2,54,0,true,true
o9273,252,53,1,52,0,true,true
o68330,253,2,StandardGenerationException,,,,
o69512,254,59,1,58,0,true,true
o82284,255,150,2,51,97,true,true
