objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o26950,1420,4472,569,28,415,8,19,0,3,21,0,2,5,2,21,2,True,False,True,2,,06072022_213703,0.0,e7a53cdb3acae12ee90a7c50b32e6f33c4c3a562,pcattouche
o46176,2229,5292,165,0,2,62,20,0,6,8,4,5,9,1,28,1,True,False,True,2,,,,,
o88605,2478,6837,77,0,1,6,13,0,1,7,5,1,17,2,5,7,True,False,True,2,,,,,
o64859,2917,6860,67,0,1,0,2,0,2,6,3,0,28,1,4,8,True,False,True,2,,,,,
o74551,3257,15196,108,0,1,3,7,0,3,3,4,4,54,8,5,2,True,False,True,3,,,,,
o83760,3556,19173,86,1,1,4,9,0,1,5,7,5,15,3,9,6,True,False,True,2,,,,,
o51161,3583,19191,68,0,1,2,10,0,1,6,5,2,11,2,5,4,True,False,True,2,,,,,
o89003,3740,15488,42,0,1,3,3,0,0,2,2,4,11,1,4,1,True,False,True,2,,,,,
o37788,4050,10213,44,1,1,4,9,0,2,4,3,1,5,1,3,0,True,False,True,2,,,,,
o6226,4330,13563,52,0,0,1,9,0,2,4,7,1,9,2,3,4,True,False,True,2,,,,,
o83391,4929,29130,335,1,0,1,6,0,3,6,15,2,252,13,9,5,True,False,True,3,,,,,
o29021,4942,16672,43,0,0,1,2,0,1,4,3,1,12,2,4,3,True,False,True,2,,,,,
o71528,5023,21543,107,0,0,1,6,0,9,3,3,3,67,2,5,1,True,False,True,2,,,,,
o77340,5040,25586,57,0,1,1,11,0,1,5,5,3,7,2,3,10,True,False,True,2,,,,,
o67371,5049,25487,50,1,0,1,10,0,0,5,5,2,7,1,3,3,True,False,True,2,,,,,
o58481,5094,28459,87,0,0,1,23,0,4,4,5,3,26,5,4,3,True,False,True,2,,,,,
o37786,5242,17677,39,0,0,2,10,0,2,4,2,3,5,2,4,0,True,False,True,2,,,,,
o39150,5277,14195,28,0,0,1,1,0,0,3,2,1,8,1,3,2,True,False,True,2,,,,,
o44352,5333,14194,28,1,0,0,1,0,1,3,2,2,7,1,3,2,True,False,True,2,,,,,
o81108,5359,26068,50,1,0,1,8,0,0,4,5,3,12,2,3,1,True,False,True,2,,,,,
o27041,5374,48933,463,1,0,1,5,0,2,3,2,4,385,34,10,4,True,False,True,2,,,,,
o77735,5410,50253,657,0,0,0,4,0,1,3,1,4,566,56,9,3,True,False,True,2,,,,,
o25763,5454,28335,90,0,0,1,8,0,1,3,5,4,37,4,6,3,True,False,True,3,,,,,
o65917,5554,37498,132,1,0,1,8,0,2,5,12,9,40,3,8,6,True,False,True,2,,,,,
o65945,5628,69656,72768,0,0,1,3,0,1,3,4,6,72693,22,10,4,True,False,True,3,,,,,
o74598,5948,26525,42,0,0,1,4,0,1,4,8,2,7,1,4,2,True,False,False,2,,,,,
o37787,6041,18534,39,0,1,7,11,0,1,2,2,1,4,1,2,0,True,False,True,2,,,,,
o78021,6146,24956,93,0,0,0,3,0,3,3,1,2,69,4,3,1,True,False,True,2,,,,,
o4354,6212,28095,51,1,0,0,8,0,1,5,8,2,10,2,2,3,True,False,True,2,,,,,
o64819,6251,25516,30,1,0,0,1,0,1,2,2,3,7,2,2,2,True,False,True,2,,,,,
o5889,6561,14031,29,0,0,0,2,0,2,4,5,0,5,2,3,1,True,False,True,2,,,,,
o75099,6792,25570,57,1,0,0,3,0,1,3,3,2,27,4,2,2,True,False,True,3,,,,,
o11666,6874,116878,1289,0,0,1,6,0,1,3,7,2,1156,67,9,3,True,False,True,3,,,,,
o69586,6949,28737,54,0,1,0,3,0,7,3,1,1,21,2,2,3,True,False,True,2,,,,,
o48256,6971,56950,410,0,1,0,7,0,2,6,2,2,309,56,10,2,True,False,True,2,,,,,
o19336,6979,58535,452,0,0,0,5,0,3,4,3,2,373,40,7,3,True,False,True,2,,,,,
o12174,6982,94442,991,0,0,0,6,0,1,4,6,4,858,78,7,3,True,False,True,3,,,,,
o44959,7574,61811,247,0,0,1,5,0,1,3,3,4,186,13,3,1,True,False,True,5,,,,,
o28277,7847,23453,35,0,1,0,2,0,1,3,2,2,13,2,3,3,True,False,True,2,,,,,
o90912,7902,30067,43,0,0,1,7,0,0,3,4,1,9,2,3,3,True,False,True,2,,,,,
o37649,8066,111117,854,1,0,0,4,0,2,3,3,4,782,31,9,2,True,False,True,2,,,,,
o41072,8143,25811,30,0,0,0,2,0,1,2,4,2,11,1,2,0,True,False,True,2,,,,,
o72196,8365,16399,81,0,0,0,13,0,1,3,3,0,50,2,1,0,True,False,True,3,,,,,
o47675,8445,38171,54,0,0,0,6,0,2,5,9,2,11,3,4,1,True,False,True,2,,,,,
o10293,8584,52883,91,0,0,1,22,0,5,8,9,3,23,4,2,2,True,False,True,2,,,,,
o82273,8600,33563,45,1,0,2,5,0,1,4,4,2,16,2,2,1,True,False,True,2,,,,,
o10296,8852,54719,94,1,0,0,24,0,8,8,8,2,23,4,1,1,True,False,True,2,,,,,
o3626,8883,12474,21,0,1,0,1,0,1,2,1,0,9,1,1,1,True,False,True,2,,,,,
o90939,8884,25020,62,0,1,0,3,0,1,3,3,1,42,2,2,0,True,False,True,2,,,,,
o72203,9119,32163,263,0,1,0,5,0,1,3,6,1,220,12,2,2,True,False,True,3,,,,,
o3925,9191,30837,68,1,0,0,14,0,2,6,7,1,23,2,4,0,True,False,True,2,,,,,
o91151,9262,65577,447,0,0,1,4,0,2,2,2,4,353,60,8,2,True,False,True,2,,,,,
o46658,9846,24188,57,0,0,8,29,0,3,2,1,1,5,1,2,0,True,False,True,2,,,,,
o62056,9903,61497,257,0,1,0,105,0,26,12,60,2,23,7,5,3,True,False,True,2,,,,,
o3905,10195,29350,52,0,0,1,15,0,2,3,3,1,15,2,2,1,True,False,True,2,,,,,
o19022,10658,9325,15,0,1,0,1,0,0,1,1,1,4,1,1,2,True,False,True,2,,,,,
o72217,10696,24850,127,0,0,0,4,0,1,3,6,0,90,7,2,3,True,False,True,3,,,,,
o70034,11214,35686,75,0,0,0,2,0,1,4,3,1,42,4,4,2,True,False,True,3,,,,,
o62057,11222,75444,866,1,0,2,132,0,418,14,113,1,148,8,7,3,True,False,True,2,,,,,
o39527,11361,26640,37,1,0,0,6,0,2,7,5,2,6,2,2,1,True,False,True,2,,,,,
o35186,11486,39137,125,0,1,1,4,0,2,4,5,3,85,4,2,2,True,False,True,3,,,,,
o33131,11621,26231,34,1,0,1,3,0,1,2,2,2,12,3,1,1,True,False,True,2,,,,,
o69635,12136,49118,2712,0,1,1,11,0,2,7,10,0,2653,4,4,1,True,False,True,3,,,,,
o17700,12263,47139,80,0,1,0,14,0,2,6,10,1,21,3,4,5,True,False,True,2,,,,,
o3895,12264,45967,505,1,0,5,30,0,1,3,2,2,448,3,3,0,True,False,True,3,,,,,
o91592,12673,928149,22514,0,0,1,6,0,2,4,3,6,18964,3305,113,7,True,False,True,2,,,,,
o13024,12977,61195,86,0,0,1,20,0,3,5,5,4,25,6,2,1,True,False,True,2,,,,,
o17383,13413,64384,117,0,0,0,2,0,1,5,6,5,61,5,4,7,True,False,True,3,,,,,
o29389,13465,53466,80,0,0,1,5,0,2,4,4,2,43,3,2,2,True,False,True,2,,,,,
o91595,13584,44824,79,0,0,1,3,0,1,4,5,2,44,3,3,2,True,False,True,2,,,,,
o35867,13873,110477,310754,0,0,1,36,0,35,49,78,5,310424,85,7,3,True,False,True,3,,,,,
o58661,14569,23443,30,0,0,0,2,0,1,5,2,0,8,1,2,1,True,False,True,2,,,,,
o55827,14618,33781,80,0,1,1,29,0,3,4,3,1,23,6,1,1,True,False,True,2,,,,,
o90832,14702,45824,175,0,1,0,5,0,2,5,6,3,126,6,4,3,True,False,True,3,,,,,
o90607,14798,34999,80,1,0,1,28,0,4,4,3,2,24,4,2,2,True,False,True,2,,,,,
o36016,15422,51393,90,0,0,1,23,0,4,6,5,4,25,7,2,2,True,False,True,2,,,,,
o48770,15724,63227,97,0,0,6,20,0,3,7,8,6,21,5,2,2,True,False,True,2,,,,,
o9918,17859,140027,1272,0,1,0,139,0,157,115,497,3,41,265,11,0,True,False,True,2,,,,,
o9959,18122,141845,1355,0,0,0,150,0,208,114,522,4,38,272,11,1,True,False,True,2,,,,,
o3455,18127,44864,82,1,0,1,21,0,3,6,5,1,21,2,3,7,True,False,True,2,,,,,
o76785,19317,51145,1107,0,1,0,5,0,1,5,9,3,1058,5,3,3,True,False,True,3,,,,,
o69248,19414,50063,1101,0,0,0,5,0,1,4,9,3,1053,5,3,2,True,False,True,3,,,,,
o13707,20251,60101,81,0,0,0,2,0,3,7,9,3,26,8,2,0,True,False,True,3,,,,,
o39210,20497,60153,193,0,0,1,56,0,25,7,27,2,38,3,3,15,True,False,True,2,,,,,
o91136,20627,47354,183,0,0,1,23,0,4,10,10,2,88,14,1,2,True,False,True,5,,,,,
o29020,20723,49621,188,0,0,0,86,0,9,8,7,2,58,3,3,1,True,False,True,2,,,,,
o13403,20968,48248,83,1,0,0,12,0,12,6,7,1,26,2,3,2,True,False,True,2,,,,,
o3456,21904,56710,106,1,0,1,27,0,5,7,6,2,29,2,4,7,True,False,True,2,,,,,
o21386,23030,54150,193,1,0,1,72,0,17,17,4,1,38,15,6,4,True,False,True,2,,,,,
o37789,23225,1548197,194415,0,1,2,32,0,4,7,10,5,147933,44976,51,22,True,False,True,3,,,,,
o1184,25426,111826,169,0,0,1,8,0,4,13,24,5,73,9,7,2,True,False,True,2,,,,,
o90944,26025,108257,558,0,0,16,16,0,6,9,19,8,432,16,6,1,True,False,True,3,,,,,
o3460,27180,68545,128,0,0,1,35,0,6,9,7,2,35,3,4,7,True,False,True,2,,,,,
o21330,28528,71555,253,1,0,1,90,0,23,20,13,2,50,18,7,5,True,False,True,2,,,,,
o3461,28893,73145,135,0,0,1,35,0,7,9,8,3,37,4,4,8,True,False,True,2,,,,,
o3462,29067,73507,141,0,0,1,36,0,6,9,8,3,42,4,4,8,True,False,True,2,,,,,
o78463,29291,105674,239,0,0,1,24,0,18,10,14,5,122,15,3,2,True,False,True,2,,,,,
o21175,30918,67141,255,0,0,1,96,0,28,20,8,2,58,15,7,5,True,False,True,2,,,,,
o3463,31035,76589,163,0,0,1,45,0,7,9,8,3,50,4,4,8,True,False,True,2,,,,,
