objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
o79021,482,737,59,662,2,true,false
o25977,515,,9,190,ExecutionException,,
o4845,528,145,4,139,2,true,JsonSchemaException
o25972,591,,5,159,ExecutionException,,
o17671,642,,7,123,ExecutionException,,
o48761,737,1,SyntaxError,,,,
o49200,839,473,358,114,1,true,false
o25944,958,123,4,119,0,true,false
o14417,997,489,5,105,379,true,false
o76762,1036,316,3,96,217,true,false
o17612,1123,963,5,93,865,true,false
o46496,1143,94,3,91,0,true,ExecutionException
o20475,1228,98,2,95,0,true,false
o14411,1272,809,2,83,724,true,false
o48872,1389,81,3,76,2,true,false
o14416,1430,219,2,77,139,true,false
o77700,1523,409,3,93,313,true,false
o14413,1524,283,2,72,209,true,false
o14410,1734,776,3,84,689,true,false
o17682,1900,,3,66,ExecutionException,,
o17645,1949,,2,68,ExecutionException,,
o14414,2185,263,3,82,178,true,false
o17644,2189,,3,74,ExecutionException,,
o89539,2196,83,6,70,7,true,false
o20523,2243,71,3,67,1,true,false
o14422,2745,208,2,66,139,true,false
o14424,2804,200,2,64,134,true,false
o14427,3069,913,2,69,841,true,false
o14420,3141,762,2,61,698,true,false
o81598,3627,63,2,60,1,true,false
o84356,3946,1,SyntaxError,,,,
o20492,5297,65,4,61,0,true,false
o33859,7325,2,SyntaxError,,,,
o14415,7571,66,3,63,0,true,false
o59998,7828,66,3,61,1,true,false
o64541,11034,65,5,59,1,true,false
o75286,16338,69,6,62,1,true,false
o13132,22645,65,4,60,0,true,false
