objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
sp_208_Normalized,234,468,135,303,3,true,true
sp_207_Normalized,234,149,25,123,0,true,true
sp_206_Normalized,234,89,18,70,0,true,true
sp_69_Normalized,275,98,22,75,0,true,true
sp_70_Normalized,279,96,36,59,0,true,true
sp_228_Normalized,285,101,24,77,0,true,true
sp_229_Normalized,287,73,23,50,0,true,true
sp_234_Normalized,289,74,26,48,0,true,true
sp_231_Normalized,291,66,20,45,0,true,true
sp_239_Normalized,296,67,23,44,0,true,true
sp_74_Normalized,307,68,21,47,0,true,true
sp_218_Normalized,333,75,26,49,0,true,true
sp_214_Normalized,369,67,21,46,0,true,true
sp_237_Normalized,371,71,18,53,0,true,true
sp_240_Normalized,378,79,28,51,0,true,true
sp_147_Normalized,387,74,20,53,1,true,true
sp_270_Normalized,397,74,21,53,0,true,true
sp_176_Normalized,400,77,25,51,0,true,true
sp_238_Normalized,400,71,19,51,0,true,true
sp_233_Normalized,401,86,25,60,1,true,true
sp_271_Normalized,402,67,20,47,0,true,true
sp_382_Normalized,408,72,18,54,0,true,true
sp_141_Normalized,408,77,18,58,0,true,true
sp_48_Normalized,428,70,21,48,0,true,true
sp_174_Normalized,435,72,23,49,0,true,true
sp_315_Normalized,439,56,17,39,0,true,true
sp_260_Normalized,455,66,30,36,0,true,true
sp_256_Normalized,455,63,25,38,0,true,true
sp_171_Normalized,458,86,31,53,1,true,true
sp_278_Normalized,464,79,21,58,0,true,true
sp_60_Normalized,467,68,18,50,0,true,true
sp_325_Normalized,489,68,17,51,0,true,true
sp_327_Normalized,495,118,60,36,22,true,true
sp_78_Normalized,495,64,29,35,0,true,true
sp_86_Normalized,502,57,18,39,0,true,true
sp_89_Normalized,506,67,22,45,0,true,true
sp_146_Normalized,506,76,25,51,0,true,true
sp_85_Normalized,509,48,17,30,1,true,true
sp_92_Normalized,510,59,26,33,0,true,true
sp_405_Normalized,511,52,20,32,0,true,true
sp_301_Normalized,513,50,15,34,0,true,true
sp_59_Normalized,514,60,18,42,0,true,true
sp_414_Normalized,516,54,22,32,0,true,true
sp_71_Normalized,525,56,19,37,0,true,true
sp_148_Normalized,531,54,21,33,0,true,true
sp_40_Normalized,536,60,16,44,0,true,true
sp_159_Normalized,537,61,17,44,0,true,true
sp_158_Normalized,539,51,17,33,0,true,true
sp_164_Normalized,550,62,24,37,1,true,true
sp_67_Normalized,550,51,17,34,0,true,true
sp_324_Normalized,552,126,17,31,77,true,true
sp_318_Normalized,557,54,18,35,0,true,true
sp_42_Normalized,563,57,16,41,0,true,true
sp_248_Normalized,572,135,24,45,66,true,true
sp_262_Normalized,572,54,21,33,0,true,true
sp_165_Normalized,575,50,16,34,0,true,true
sp_216_Normalized,580,59,18,41,0,true,true
sp_44_Normalized,592,59,18,40,0,true,true
sp_413_Normalized,596,45,14,31,0,true,true
sp_41_Normalized,599,82,32,49,1,true,true
sp_39_Normalized,602,52,21,31,0,true,true
sp_57_Normalized,602,52,18,34,0,true,true
sp_166_Normalized,610,52,17,35,0,true,true
sp_320_Normalized,621,57,14,42,0,true,true
sp_167_Normalized,623,51,17,33,1,true,true
sp_273_Normalized,626,55,25,30,0,true,true
sp_282_Normalized,637,52,19,33,0,true,true
sp_11_Normalized,639,61,17,43,1,true,true
sp_168_Normalized,642,51,14,37,0,true,true
sp_272_Normalized,645,138,17,53,68,true,true
sp_380_Normalized,653,59,18,41,0,true,true
sp_161_Normalized,656,57,25,30,1,true,true
sp_33_Normalized,668,62,26,36,0,true,true
sp_28_Normalized,668,48,16,32,0,true,true
sp_321_Normalized,677,60,20,40,0,true,true
