objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
sp_206_Normalized,234,64,570,535,true,26,437,5,16,0,0,0,0,0,6,0,18,1,true,false,true,2,,26092022_173814,0,null,76ba3b4c3347
sp_207_Normalized,234,64,9,8,true,1,0,0,1,0,0,0,0,0,2,0,1,1,true,false,true,2,,,,,
sp_208_Normalized,234,64,8,7,true,0,0,0,1,0,0,0,0,0,1,0,2,1,true,false,true,2,,,,,
sp_69_Normalized,275,258,85,83,true,0,2,2,45,0,8,2,0,1,2,0,9,4,true,false,true,2,,,,,
sp_70_Normalized,279,258,16,15,true,0,0,0,3,0,1,2,1,0,1,0,1,1,true,false,true,2,,,,,
sp_228_Normalized,285,258,16,16,true,0,1,0,3,0,1,2,0,0,0,0,1,1,true,false,true,2,,,,,
sp_229_Normalized,287,258,8,7,true,0,1,0,1,0,1,1,0,0,1,0,1,0,true,false,true,2,,,,,
sp_234_Normalized,289,258,13,12,true,1,0,0,2,0,1,2,0,1,0,0,1,1,true,false,true,2,,,,,
sp_231_Normalized,291,258,6,6,true,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
sp_239_Normalized,296,258,6,6,true,0,0,0,2,0,0,0,0,1,0,0,0,1,true,false,true,2,,,,,
sp_74_Normalized,307,258,9,8,true,0,1,0,1,0,0,0,1,0,0,0,1,1,true,false,true,2,,,,,
sp_218_Normalized,333,258,5,5,true,0,0,0,1,0,1,1,1,0,0,0,0,1,true,false,true,2,,,,,
sp_214_Normalized,369,64,2,2,true,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
sp_237_Normalized,371,696,27,26,true,0,0,1,6,0,1,2,2,0,3,0,7,0,true,false,true,2,,,,,
sp_240_Normalized,378,692,17,16,true,0,1,0,4,0,1,2,0,0,3,0,2,0,true,false,true,2,,,,,
sp_147_Normalized,387,943,44,43,true,1,1,1,1,0,0,2,0,1,5,0,11,15,true,false,true,2,,,,,
sp_270_Normalized,397,688,13,13,true,0,1,0,3,0,0,2,1,0,1,0,2,0,true,false,true,2,,,,,
sp_176_Normalized,400,505,12,11,true,0,1,0,2,0,1,1,1,0,1,0,2,1,true,false,true,2,,,,,
sp_238_Normalized,400,724,12,11,true,0,0,0,4,0,1,1,0,1,1,0,2,0,true,false,true,2,,,,,
sp_233_Normalized,401,1076,32,32,true,1,1,0,11,0,8,1,2,0,0,0,1,1,true,false,true,2,,,,,
sp_271_Normalized,402,952,13,12,true,0,0,1,1,0,1,1,0,0,1,1,2,2,true,false,true,2,,,,,
sp_141_Normalized,408,1045,14,14,true,0,0,0,4,0,0,1,0,0,1,0,2,2,true,false,true,2,,,,,
sp_382_Normalized,408,64,2,2,true,0,1,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
sp_48_Normalized,428,627,5,5,true,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
sp_174_Normalized,435,906,29,28,true,0,0,0,5,0,15,1,4,0,1,0,1,0,true,false,true,2,,,,,
sp_315_Normalized,439,860,21,20,true,1,1,1,5,0,2,2,1,0,1,0,2,2,true,false,true,2,,,,,
sp_256_Normalized,455,1530,21,20,true,1,0,2,7,0,1,2,1,1,1,1,3,0,true,false,true,2,,,,,
sp_260_Normalized,455,1530,14,13,true,0,0,0,4,0,0,2,2,0,2,0,1,0,true,false,true,2,,,,,
sp_171_Normalized,458,717,10,9,true,0,0,0,2,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
sp_278_Normalized,464,1073,13,12,true,0,0,0,2,0,0,1,0,1,2,0,1,2,true,false,true,2,,,,,
sp_60_Normalized,467,1417,86,85,true,0,0,0,3,0,60,1,15,0,1,0,1,2,true,false,true,2,,,,,
sp_325_Normalized,489,1347,415,415,true,0,0,1,3,0,342,1,62,0,1,1,1,1,true,false,true,2,,,,,
sp_327_Normalized,495,1615,23,22,true,0,1,7,6,0,1,1,1,0,1,0,1,1,true,false,true,2,,,,,
sp_78_Normalized,495,1104,179,178,true,1,0,0,8,0,134,1,31,0,1,0,1,0,true,false,true,2,,,,,
sp_86_Normalized,502,1219,178,178,true,1,0,0,5,0,137,0,28,0,1,0,1,1,true,false,true,2,,,,,
sp_146_Normalized,506,1324,23,22,true,0,1,0,10,0,2,1,0,0,2,1,1,1,true,false,true,2,,,,,
sp_89_Normalized,506,1427,181,180,true,0,0,0,5,0,136,2,29,1,1,0,1,2,true,false,true,2,,,,,
sp_85_Normalized,509,1227,179,178,true,0,1,0,5,0,137,1,31,0,1,0,1,0,true,false,true,2,,,,,
