objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
draft2019_09_reflexive_boolean_schema_id1_subschema1_not_2,82,65,537,36,446,3,10,0,1,0,0,1,5,0,13,1,false,true,,2,,16022022_103117,0,1a61a291761b2fff014d1879ed260b5d6506b7e6,pcattouche
draft2019_09_reflexive_boolean_schema_id2_subschema1_not_2,84,65,2,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id1_subschema1_not_2,143,65,5,0,1,0,2,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id10_subschema1_not_2,144,348,18,0,0,0,0,0,1,2,0,1,0,0,8,0,true,false,true,2,,,,,
draft2019_09_valid_boolean_schema_id7_subschema1_not_2,144,65,4,0,0,1,1,0,0,0,0,0,1,0,0,1,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id9_subschema1_not_2,144,65,3,0,0,0,2,0,0,0,0,1,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id18_subschema1_not_2,145,332,26,0,0,0,0,0,4,2,0,0,2,0,14,0,true,false,true,2,,,,,
draft2019_09_valid_boolean_schema_id16_subschema1_not_2,145,239,55,0,0,0,0,0,1,0,0,2,35,4,7,5,true,false,true,2,,,,,
draft2019_09_valid_boolean_schema_id3_subschema1_not_2,146,65,3,1,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id5_subschema1_not_2,146,65,2,0,0,0,1,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id14_subschema1_not_2,147,166,3,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
draft2019_09_valid_boolean_schema_id4_subschema1_not_2,147,65,2,0,0,0,1,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id2_subschema1_not_2,147,65,4,0,0,0,2,0,0,0,0,0,0,1,0,1,false,true,,2,,,,,
draft2019_09_valid_boolean_schema_id12_subschema1_not_2,147,230,4,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
draft2019_09_valid_boolean_schema_id11_subschema1_not_2,148,234,5,0,0,0,1,0,0,1,0,0,0,1,1,1,true,false,true,2,,,,,
draft2019_09_valid_boolean_schema_id13_subschema1_not_2,148,230,3,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
draft2019_09_reflexive_not_id5_subschema1_not_2,152,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_not_id6_subschema1_not_2,154,65,1,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_minItems_id1_subschema1_not_2,156,220,5,1,0,0,0,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_minimum_id2_subschema1_not_2,156,210,4,0,1,0,0,0,0,0,0,1,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_maxItems_id1_subschema1_not_2,156,220,4,0,0,0,0,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_items_id3_subschema1_not_2,156,347,6,1,0,0,1,0,0,1,0,1,1,0,0,1,false,true,,2,,,,,
draft2019_09_reflexive_minimum_id1_subschema1_not_2,158,208,3,0,0,0,0,0,0,0,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_reflexive_items_id4_subschema1_not_2,158,313,4,0,0,0,0,0,1,0,0,2,0,0,0,1,false,true,,2,,,,,
draft2019_09_reflexive_maxLength_id1_subschema1_not_2,158,292,16,0,1,0,12,0,1,0,0,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id7_subschema1_not_2,158,65,2,1,0,0,0,0,0,0,0,0,1,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_minLength_id1_subschema1_not_2,158,292,5,0,0,0,2,0,0,0,1,0,0,0,1,0,false,true,,2,,,,,
draft2019_09_reflexive_maximum_id2_subschema1_not_2,158,212,3,0,0,0,1,0,0,0,0,0,0,0,0,1,false,true,,2,,,,,
draft2019_09_reflexive_maximum_id1_subschema1_not_2,158,208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,,2,,,,,
draft2019_09_reflexive_type_id5_subschema1_not_2,160,65,1,0,0,0,0,0,0,0,0,0,0,0,1,0,false,true,,2,,,,,
