objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
draft2019_09_valid_boolean_schema_id10_subschema1_not_2,144,61,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id18_subschema1_not_2,145,9,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id16_subschema1_not_2,145,8,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id14_subschema1_not_2,147,7,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id12_subschema1_not_2,147,6,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id11_subschema1_not_2,148,6,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id13_subschema1_not_2,148,5,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id1_subschema1_not_2,182,5,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id7_subschema1_not_2,183,14,StandardGenerationException,,,,
draft2019_09_nonvalid_boolean_schema_id9_subschema1_not_2,183,5,StandardGenerationException,,,,
draft2019_09_valid_minItems_id3_subschema1_not_2,185,585,5,573,3,true,true
draft2019_09_nonvalid_boolean_schema_id5_subschema1_not_2,185,10,StandardGenerationException,,,,
draft2019_09_valid_type_id52_subschema1_not_2,185,200,4,196,0,true,true
draft2019_09_nonvalid_boolean_schema_id3_subschema1_not_2,185,6,StandardGenerationException,,,,
draft2019_09_valid_minimum_id10_subschema1_not_2,185,172,4,167,0,true,true
draft2019_09_valid_type_id54_subschema1_not_2,185,164,4,160,0,true,true
draft2019_09_valid_multipleOf_id2_subschema1_not_2,186,130,3,127,0,true,true
draft2019_09_nonvalid_boolean_schema_id2_subschema1_not_2,186,3,StandardGenerationException,,,,
draft2019_09_valid_type_id56_subschema1_not_2,186,125,2,122,1,true,true
draft2019_09_valid_type_id35_subschema1_not_2,186,121,5,115,1,true,true
draft2019_09_valid_type_id57_subschema1_not_2,186,109,4,105,0,true,true
draft2019_09_valid_type_id58_subschema1_not_2,186,107,2,104,0,true,true
draft2019_09_nonvalid_boolean_schema_id4_subschema1_not_2,186,2,StandardGenerationException,,,,
draft2019_09_valid_type_id28_subschema1_not_2,187,114,2,112,0,true,true
draft2019_09_valid_minLength_id3_subschema1_not_2,187,104,2,101,1,true,true
draft2019_09_valid_type_id19_subschema1_not_2,187,98,2,96,0,true,true
draft2019_09_valid_maximum_id3_subschema1_not_2,187,99,3,92,4,true,true
draft2019_09_valid_minimum_id3_subschema1_not_2,187,99,2,96,1,true,true
draft2019_09_valid_type_id53_subschema1_not_2,187,103,3,98,2,true,true
draft2019_09_valid_type_id38_subschema1_not_2,187,118,3,115,0,true,true
draft2019_09_valid_type_id15_subschema1_not_2,188,87,1,85,0,true,true
draft2019_09_valid_type_id42_subschema1_not_2,188,110,2,108,0,true,true
draft2019_09_valid_type_id43_subschema1_not_2,188,103,2,100,1,true,true
draft2019_09_valid_type_id25_subschema1_not_2,188,89,2,87,0,true,true
draft2019_09_valid_type_id36_subschema1_not_2,188,91,3,87,1,true,true
draft2019_09_valid_boolean_schema_id17_subschema1_not_2,188,3,StandardGenerationException,,,,
draft2019_09_valid_type_id32_subschema1_not_2,188,90,2,88,0,true,true
draft2019_09_valid_type_id16_subschema1_not_2,188,84,2,82,0,true,true
draft2019_09_valid_type_id24_subschema1_not_2,188,82,2,79,1,true,true
draft2019_09_valid_type_id59_subschema1_not_2,188,77,2,75,0,true,true
draft2019_09_valid_type_id47_subschema1_not_2,189,78,2,76,0,true,true
draft2019_09_valid_type_id14_subschema1_not_2,189,79,2,76,1,true,true
draft2019_09_valid_type_id46_subschema1_not_2,189,75,2,72,1,true,true
draft2019_09_valid_type_id29_subschema1_not_2,189,87,2,84,1,true,true
draft2019_09_valid_multipleOf_id6_subschema1_not_2,189,73,3,70,0,true,true
draft2019_09_valid_type_id40_subschema1_not_2,189,77,2,75,0,true,true
draft2019_09_valid_maximum_id8_subschema1_not_2,189,79,3,75,1,true,true
draft2019_09_valid_type_id6_subschema1_not_2,189,73,2,71,0,true,true
draft2019_09_valid_maxLength_id3_subschema1_not_2,189,77,2,74,1,true,true
draft2019_09_valid_type_id41_subschema1_not_2,189,73,2,70,1,true,true
draft2019_09_valid_type_id55_subschema1_not_2,189,77,2,75,0,true,true
draft2019_09_valid_type_id7_subschema1_not_2,189,72,2,70,0,true,true
draft2019_09_valid_type_id20_subschema1_not_2,189,75,2,72,1,true,true
draft2019_09_valid_type_id60_subschema1_not_2,189,72,2,70,0,true,true
draft2019_09_valid_type_id48_subschema1_not_2,189,71,2,69,0,true,true
draft2019_09_valid_minimum_id9_subschema1_not_2,190,73,1,70,1,true,true
draft2019_09_valid_type_id34_subschema1_not_2,190,73,2,71,0,true,true
draft2019_09_valid_type_id17_subschema1_not_2,190,81,2,79,0,true,true
draft2019_09_valid_type_id3_subschema1_not_2,190,78,2,75,1,true,true
draft2019_09_valid_type_id37_subschema1_not_2,190,75,1,73,0,true,true
draft2019_09_valid_type_id27_subschema1_not_2,190,81,2,79,0,true,true
draft2019_09_valid_type_id33_subschema1_not_2,190,68,2,66,0,true,true
draft2019_09_valid_type_id18_subschema1_not_2,190,97,2,95,0,true,true
draft2019_09_valid_type_id5_subschema1_not_2,190,76,3,73,0,true,true
draft2019_09_valid_minProperties_id3_subschema1_not_2,190,73,2,70,0,true,true
draft2019_09_valid_type_id44_subschema1_not_2,190,72,2,69,1,true,true
draft2019_09_valid_type_id26_subschema1_not_2,190,70,2,67,1,true,true
