objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
draft2019_09_reflexive_boolean_schema_id1_subschema1_not_2,82,63,StandardGenerationException,,,,
draft2019_09_reflexive_boolean_schema_id2_subschema1_not_2,84,8,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id1_subschema1_not_2,143,8,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id7_subschema1_not_2,144,6,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id9_subschema1_not_2,144,7,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id3_subschema1_not_2,146,6,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id5_subschema1_not_2,146,6,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id4_subschema1_not_2,147,12,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id2_subschema1_not_2,147,6,StandardGenerationException,,,,
draft2019_09_reflexive_not_id5_subschema1_not_2,152,7,StandardGenerationException,,,,
draft2019_09_reflexive_not_id6_subschema1_not_2,154,7,StandardGenerationException,,,,
draft2019_09_reflexive_minItems_id1_subschema1_not_2,156,646,6,633,4,true,false
draft2019_09_reflexive_minimum_id2_subschema1_not_2,156,223,12,206,5,true,false
draft2019_09_reflexive_maxItems_id1_subschema1_not_2,156,228,5,221,1,true,false
draft2019_09_reflexive_items_id3_subschema1_not_2,156,4,StandardGenerationException,,,,
draft2019_09_reflexive_minimum_id1_subschema1_not_2,158,159,5,152,2,true,false
draft2019_09_reflexive_items_id4_subschema1_not_2,158,3,StandardGenerationException,,,,
draft2019_09_reflexive_maxLength_id1_subschema1_not_2,158,131,2,127,2,true,false
draft2019_09_reflexive_type_id7_subschema1_not_2,158,123,4,118,IllegalStateException,,
draft2019_09_reflexive_minLength_id1_subschema1_not_2,158,122,4,118,0,true,false
draft2019_09_reflexive_maximum_id2_subschema1_not_2,158,117,4,112,1,true,false
draft2019_09_reflexive_maximum_id1_subschema1_not_2,158,127,3,123,1,true,false
draft2019_09_reflexive_type_id5_subschema1_not_2,160,115,3,112,0,true,false
draft2019_09_reflexive_multipleOf_id1_subschema1_not_2,160,106,3,102,1,true,false
draft2019_09_reflexive_pattern_id2_subschema1_not_2,160,641,378,97,166,true,false
draft2019_09_reflexive_type_id4_subschema1_not_2,162,101,3,98,0,true,false
draft2019_09_reflexive_type_id2_subschema1_not_2,162,97,2,94,1,true,false
draft2019_09_reflexive_type_id3_subschema1_not_2,162,102,2,99,1,true,false
draft2019_09_reflexive_pattern_id1_subschema1_not_2,164,215,4,96,115,true,false
draft2019_09_reflexive_multipleOf_id2_subschema1_not_2,164,93,3,89,1,true,false
draft2019_09_reflexive_type_id1_subschema1_not_2,164,91,2,89,0,true,false
draft2019_09_reflexive_type_id6_subschema1_not_2,164,92,2,89,0,true,false
draft2019_09_reflexive_minProperties_id1_subschema1_not_2,166,90,3,87,0,true,false
draft2019_09_reflexive_maxProperties_id2_subschema1_not_2,166,83,2,81,0,true,false
draft2019_09_reflexive_maxProperties_id1_subschema1_not_2,166,79,3,75,1,true,false
draft2019_09_reflexive_multipleOf_id3_subschema1_not_2,170,79,3,75,1,true,false
draft2019_09_reflexive_additionalItems_id4_subschema1_not_2,178,81,3,78,0,true,false
draft2019_09_valid_minimum_id6_subschema1_not_2,184,80,3,76,1,true,false
draft2019_09_valid_minimum_id5_subschema1_not_2,185,100,2,97,1,true,false
draft2019_09_valid_minLength_id4_subschema1_not_2,185,76,3,73,0,true,false
draft2019_09_valid_minItems_id4_subschema1_not_2,185,75,2,72,1,true,false
draft2019_09_valid_items_id12_subschema1_not_2,185,2,StandardGenerationException,,,,
draft2019_09_valid_minimum_id7_subschema1_not_2,185,72,2,70,0,true,false
draft2019_09_valid_minimum_id11_subschema1_not_2,186,74,2,71,1,true,false
draft2019_09_valid_items_id14_subschema1_not_2,186,2,StandardGenerationException,,,,
draft2019_09_valid_boolean_schema_id8_subschema1_not_2,187,2,StandardGenerationException,,,,
draft2019_09_valid_type_id39_subschema1_not_2,187,75,1,73,0,true,false
draft2019_09_valid_minimum_id2_subschema1_not_2,187,70,2,67,1,true,false
draft2019_09_valid_maximum_id4_subschema1_not_2,187,73,2,71,0,true,false
draft2019_09_valid_multipleOf_id1_subschema1_not_2,187,71,2,69,0,true,false
draft2019_09_valid_maxLength_id1_subschema1_not_2,187,68,1,66,1,true,false
draft2019_09_valid_maximum_id1_subschema1_not_2,187,76,2,73,1,true,false
draft2019_09_valid_maximum_id2_subschema1_not_2,187,73,2,69,2,true,false
draft2019_09_valid_minimum_id1_subschema1_not_2,187,73,2,70,1,true,false
draft2019_09_valid_type_id10_subschema1_not_2,187,73,2,71,0,true,false
draft2019_09_valid_maxLength_id4_subschema1_not_2,187,82,2,80,0,true,false
draft2019_09_valid_maximum_id6_subschema1_not_2,187,84,3,80,1,true,false
draft2019_09_valid_minimum_id8_subschema1_not_2,187,94,2,91,1,true,false
draft2019_09_valid_not_id12_subschema1_not_2,187,2,StandardGenerationException,,,,
draft2019_09_valid_minimum_id4_subschema1_not_2,187,70,2,67,1,true,false
draft2019_09_valid_type_id1_subschema1_not_2,188,68,3,64,1,true,false
draft2019_09_valid_type_id61_subschema1_not_2,188,69,2,67,0,true,false
draft2019_09_valid_maxLength_id2_subschema1_not_2,188,71,2,69,0,true,false
draft2019_09_valid_type_id31_subschema1_not_2,188,67,2,65,0,true,false
draft2019_09_valid_multipleOf_id4_subschema1_not_2,188,67,1,65,0,true,false
draft2019_09_valid_minLength_id2_subschema1_not_2,188,68,2,65,1,true,false
draft2019_09_valid_type_id23_subschema1_not_2,188,65,2,63,0,true,false
draft2019_09_valid_type_id12_subschema1_not_2,189,67,3,63,1,true,false
draft2019_09_valid_maximum_id7_subschema1_not_2,189,63,2,61,0,true,false
draft2019_09_valid_type_id22_subschema1_not_2,189,59,2,57,0,true,false
draft2019_09_valid_pattern_id7_subschema1_not_2,189,73,1,72,0,true,false
draft2019_09_valid_minLength_id1_subschema1_not_2,189,69,2,67,0,true,false
draft2019_09_valid_pattern_id6_subschema1_not_2,189,66,3,63,0,true,false
draft2019_09_valid_type_id11_subschema1_not_2,189,89,2,86,1,true,false
draft2019_09_valid_minProperties_id6_subschema1_not_2,190,66,2,64,0,true,false
draft2019_09_valid_multipleOf_id3_subschema1_not_2,190,64,2,62,0,true,false
draft2019_09_valid_minProperties_id4_subschema1_not_2,190,66,2,64,0,true,false
draft2019_09_valid_minProperties_id5_subschema1_not_2,190,59,1,57,0,true,false
draft2019_09_valid_pattern_id5_subschema1_not_2,190,57,1,54,1,true,false
draft2019_09_valid_maxProperties_id7_subschema1_not_2,190,56,1,54,0,true,false
draft2019_09_valid_type_id2_subschema1_not_2,190,60,1,58,1,true,true
draft2019_09_valid_maxProperties_id6_subschema1_not_2,190,65,2,63,0,true,false
draft2019_09_valid_multipleOf_id5_subschema1_not_2,190,64,1,61,1,true,false
draft2019_09_valid_pattern_id4_subschema1_not_2,190,64,2,62,0,true,false
draft2019_09_valid_maximum_id5_subschema1_not_2,190,67,2,64,1,true,false
draft2019_09_valid_pattern_id3_subschema1_not_2,191,59,2,57,0,true,false
draft2019_09_valid_type_id21_subschema1_not_2,191,58,1,57,0,true,false
draft2019_09_valid_pattern_id8_subschema1_not_2,191,64,1,62,1,true,false
draft2019_09_valid_maxItems_id4_subschema1_not_2,191,76,2,74,0,true,false
draft2019_09_valid_type_id49_subschema1_not_2,191,81,2,78,1,true,false
draft2019_09_valid_type_id50_subschema1_not_2,192,97,2,95,0,true,false
draft2019_09_valid_pattern_id1_subschema1_not_2,192,64,2,61,1,true,false
draft2019_09_valid_pattern_id9_subschema1_not_2,193,62,2,59,1,true,false
draft2019_09_valid_boolean_schema_id6_subschema1_not_2,194,2,StandardGenerationException,,,,
draft2019_09_valid_multipleOf_id7_subschema1_not_2,196,66,2,63,1,true,false
draft2019_09_valid_maxProperties_id5_subschema1_not_2,196,72,3,69,0,true,false
draft2019_09_universal_boolean_schema_id1_subschema1_not_2,216,2,StandardGenerationException,,,,
