objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
wp_87_Normalized,117,530,217,270,2,true,true
wp_86_Normalized,118,134,35,99,0,true,true
wp_82_Normalized,133,110,38,72,0,true,true
wp_59_Normalized,133,94,32,62,0,true,true
wp_61_Normalized,145,100,25,75,0,true,true
wp_60_Normalized,147,93,41,52,0,true,true
wp_66_Normalized,154,89,32,56,0,true,true
wp_90_Normalized,154,71,23,47,0,true,true
wp_95_Normalized,159,92,37,54,0,true,true
wp_69_Normalized,163,104,27,77,0,true,true
wp_36_Normalized,164,84,36,48,0,true,true
wp_70_Normalized,171,72,21,51,0,true,true
wp_71_Normalized,180,82,27,55,0,true,true
wp_39_Normalized,196,80,28,51,0,true,true
wp_44_Normalized,196,110,34,75,0,true,true
wp_56_Normalized,206,97,39,58,0,true,true
wp_108_Normalized,217,89,46,43,0,true,true
wp_50_Normalized,225,67,19,48,0,true,true
wp_40_Normalized,242,64,18,46,0,true,true
wp_46_Normalized,244,97,54,43,0,true,true
wp_52_Normalized,253,98,33,65,0,true,true
wp_64_Normalized,256,72,25,46,0,true,true
wp_97_Normalized,283,75,23,52,0,true,true
wp_92_Normalized,290,185,53,132,0,true,true
wp_38_Normalized,293,83,26,57,0,true,true
wp_99_Normalized,316,68,29,39,0,true,true
wp_101_Normalized,329,77,22,55,0,true,true
wp_43_Normalized,334,77,23,53,0,true,true
wp_88_Normalized,360,102,32,69,0,true,true
wp_67_Normalized,373,64,26,38,0,true,true
wp_41_Normalized,401,73,37,36,0,true,true
wp_42_Normalized,500,63,19,43,1,true,true
wp_54_Normalized,549,104,30,73,1,true,true
wp_62_Normalized,571,73,31,41,0,true,true
wp_77_Normalized,579,99,51,47,1,true,true
wp_91_Normalized,627,174,77,96,0,true,false
wp_55_Normalized,634,136,83,52,0,true,false
wp_93_Normalized,640,57,16,39,1,true,true
wp_58_Normalized,642,72,27,45,0,true,true
wp_65_Normalized,659,55,19,35,1,true,false
wp_106_Normalized,680,120,71,47,1,true,true
wp_49_Normalized,753,88,44,42,1,true,true
wp_120_Normalized,808,61,24,37,0,true,true
wp_109_Normalized,832,120,44,75,1,true,true
wp_72_Normalized,858,86,33,53,0,true,true
wp_110_Normalized,913,64,29,35,0,true,true
wp_122_Normalized,1066,58,19,38,0,true,true
wp_104_Normalized,1072,57,21,36,0,true,true
wp_102_Normalized,1135,60,18,41,1,true,true
wp_84_Normalized,1184,65,21,44,0,true,true
wp_121_Normalized,1220,70,24,45,0,true,true
wp_63_Normalized,1230,52,21,31,0,true,true
wp_45_Normalized,1252,50,17,33,0,true,true
wp_37_Normalized,1290,64,22,42,0,true,true
wp_76_Normalized,1300,91,21,70,0,true,true
wp_89_Normalized,1605,51,17,33,0,true,true
wp_80_Normalized,1652,47,17,30,0,true,true
wp_10_Normalized,1721,65,17,40,8,true,true
wp_85_Normalized,1750,71,32,39,0,true,true
wp_119_Normalized,2303,53,18,34,0,true,true
wp_68_Normalized,2344,53,23,30,0,true,true
wp_75_Normalized,2349,87,46,41,0,true,true
wp_115_Normalized,2424,80,24,56,0,true,true
wp_22_Normalized,2696,92,60,31,1,true,true
wp_111_Normalized,2754,67,33,34,0,true,true
wp_48_Normalized,2754,54,22,32,0,true,true
wp_79_Normalized,2790,95,58,37,0,true,true
wp_32_Normalized,2819,54,18,36,0,true,true
wp_24_Normalized,2829,51,18,33,0,true,true
wp_18_Normalized,2905,51,18,33,0,true,true
wp_25_Normalized,2930,77,20,57,0,true,true
wp_19_Normalized,2958,55,21,34,0,true,true
wp_20_Normalized,3139,61,25,36,0,true,true
wp_57_Normalized,3211,68,18,46,3,true,true
wp_30_Normalized,3214,63,27,36,0,true,true
wp_114_Normalized,3315,74,38,36,0,true,true
wp_34_Normalized,3589,64,26,38,0,true,true
wp_103_Normalized,3621,67,19,43,5,true,true
wp_51_Normalized,3689,179,90,88,0,true,true
wp_112_Normalized,4072,145,69,76,0,true,true
wp_107_Normalized,4292,161,119,42,0,true,true
wp_21_Normalized,4598,76,22,54,0,true,true
wp_113_Normalized,4621,167,31,134,1,true,true
wp_47_Normalized,4765,90,33,57,0,true,true
wp_74_Normalized,4842,136,100,36,0,true,true
wp_116_Normalized,5076,86,27,58,0,true,false
wp_33_Normalized,5213,61,28,32,0,true,true
wp_11_Normalized,5304,129,91,33,5,true,true
wp_13_Normalized,5621,98,47,50,0,true,true
wp_28_Normalized,5664,113,68,44,0,true,true
wp_12_Normalized,5757,155,76,72,7,true,true
wp_117_Normalized,5770,160,106,54,0,true,true
wp_29_Normalized,5872,140,41,99,0,true,true
wp_16_Normalized,5990,106,65,37,4,true,true
wp_23_Normalized,6047,72,28,44,0,true,true
wp_73_Normalized,6162,63,20,43,0,true,true
wp_14_Normalized,6449,69,22,47,0,true,true
wp_118_Normalized,6845,102,26,76,0,true,true
wp_81_Normalized,7837,65,23,41,1,true,true
wp_31_Normalized,8311,111,26,85,0,true,true
wp_2_Normalized,8902,141,91,44,6,true,true
wp_100_Normalized,9749,104,36,68,0,true,true
wp_94_Normalized,23860,535,234,251,2,true,true
wp_96_Normalized,100027,243,141,93,0,true,true
wp_53_Normalized,100048,178,96,78,0,true,true
wp_78_Normalized,100148,159,84,72,0,true,true
wp_83_Normalized,100192,156,84,69,0,true,true
wp_8_Normalized,100344,149,81,64,1,true,true
wp_105_Normalized,100546,155,82,70,0,true,true
wp_4_Normalized,100554,185,106,76,0,true,true
wp_1_Normalized,104992,161,89,58,11,true,true
wp_9_Normalized,105788,155,87,58,7,true,true
wp_26_Normalized,107125,134,81,49,1,true,true
wp_5_Normalized,108152,143,87,48,6,true,true
wp_0_Normalized,109060,134,73,50,9,true,true
wp_27_Normalized,109508,139,77,59,1,true,true
wp_15_Normalized,109531,182,134,46,0,true,true
wp_6_Normalized,111498,152,93,55,1,true,true
wp_98_Normalized,111978,124,74,48,0,true,true
wp_123_Normalized,116157,131,82,47,0,true,true
wp_7_Normalized,116261,123,70,46,5,true,true
wp_124_Normalized,120959,141,81,55,3,true,true
wp_3_Normalized,127086,153,104,46,0,true,true
wp_17_Normalized,139858,148,96,48,1,true,true
wp_35_Normalized,145128,185,127,54,1,true,true
