objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
wp_87_Normalized,117,166,577,545,true,26,380,5,21,0,0,10,0,1,1,0,58,7,true,false,true,2,,26092022_174523,0,null,76ba3b4c3347
wp_86_Normalized,118,166,19,18,true,1,1,1,2,0,1,2,0,2,1,0,2,1,true,false,true,2,,,,,
wp_59_Normalized,133,260,19,18,true,1,1,1,4,0,1,3,1,0,1,0,2,1,true,false,true,2,,,,,
wp_82_Normalized,133,166,10,9,true,0,1,0,1,0,0,1,0,0,0,0,2,1,true,false,true,2,,,,,
wp_61_Normalized,145,166,5,4,true,0,0,0,1,0,0,0,0,0,0,0,2,0,true,false,true,2,,,,,
wp_60_Normalized,147,166,5,5,true,0,0,0,1,0,0,1,0,1,0,0,1,1,true,false,true,2,,,,,
wp_66_Normalized,154,166,5,4,true,0,0,0,1,0,0,0,0,0,0,0,2,0,true,false,true,2,,,,,
wp_90_Normalized,154,166,9,9,true,0,0,0,1,0,0,1,0,1,1,0,2,2,true,false,true,2,,,,,
wp_95_Normalized,159,199,30,29,true,0,1,1,4,0,1,1,0,0,2,0,8,4,true,false,true,2,,,,,
wp_69_Normalized,163,166,8,8,true,0,0,0,1,0,0,1,0,0,0,1,2,2,true,false,true,2,,,,,
wp_36_Normalized,164,199,7,6,true,0,0,0,2,0,1,0,0,0,0,0,0,1,true,false,true,2,,,,,
wp_70_Normalized,171,166,6,5,true,0,0,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_71_Normalized,180,166,9,9,true,1,0,0,1,0,0,1,0,0,1,0,2,2,true,false,true,2,,,,,
wp_39_Normalized,196,166,5,4,true,1,0,0,0,1,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
wp_44_Normalized,196,463,36,35,true,0,1,1,4,0,5,1,2,0,1,0,15,1,true,false,true,2,,,,,
wp_56_Normalized,206,166,8,7,true,0,1,0,1,0,0,1,0,0,0,1,2,1,true,false,true,2,,,,,
wp_108_Normalized,217,1024,33,32,true,1,0,1,2,0,1,2,0,0,4,0,15,1,true,false,true,2,,,,,
wp_50_Normalized,225,166,8,7,true,0,0,0,1,0,0,1,0,0,0,0,2,1,true,false,true,2,,,,,
wp_40_Normalized,242,166,7,6,true,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
wp_46_Normalized,244,916,26,26,true,0,1,17,2,0,0,1,1,0,0,0,2,0,true,false,true,2,,,,,
wp_52_Normalized,253,166,6,5,true,0,0,0,1,0,0,1,0,1,0,0,1,1,true,false,true,2,,,,,
wp_64_Normalized,256,750,10,9,true,0,0,0,0,0,0,1,1,0,4,0,0,1,true,false,true,2,,,,,
wp_97_Normalized,283,270,8,7,true,1,0,0,1,0,0,1,0,1,0,0,2,0,true,false,true,2,,,,,
wp_92_Normalized,290,166,6,5,true,1,0,0,0,0,1,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_38_Normalized,293,752,11,11,true,0,1,0,3,0,0,2,0,0,1,0,2,0,true,false,true,2,,,,,
wp_99_Normalized,316,166,5,4,true,0,0,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_101_Normalized,329,166,2,2,true,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
wp_43_Normalized,334,166,5,4,true,1,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_88_Normalized,360,1622,18,17,true,0,0,0,3,0,2,2,2,0,1,0,1,0,true,false,true,2,,,,,
wp_67_Normalized,373,166,6,5,true,1,0,0,0,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
wp_41_Normalized,401,912,6,5,true,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
wp_42_Normalized,500,166,6,5,true,0,0,0,1,0,0,1,0,1,0,0,1,1,true,false,true,2,,,,,
wp_54_Normalized,549,786,13,13,true,0,0,0,1,0,0,1,0,0,7,0,1,0,true,false,true,2,,,,,
wp_62_Normalized,571,1473,24,22,true,0,0,0,1,0,1,2,1,0,1,0,1,10,true,false,true,2,,,,,
wp_77_Normalized,579,579,12,11,true,0,0,1,4,0,0,2,0,0,0,0,2,0,true,false,true,2,,,,,
wp_91_Normalized,627,1731,17,15,true,0,1,1,1,0,0,1,1,3,1,0,0,1,true,false,true,2,,,,,
wp_55_Normalized,634,1731,16,15,true,0,0,1,1,0,0,2,1,1,1,0,0,1,true,false,true,2,,,,,
wp_93_Normalized,640,781,15,14,true,1,0,1,1,0,0,2,0,0,3,0,1,0,true,false,true,2,,,,,
wp_58_Normalized,642,2959,21,20,true,1,0,0,1,0,0,2,4,0,2,1,3,0,true,false,true,2,,,,,
wp_65_Normalized,659,1731,18,17,true,1,0,1,1,0,0,3,0,2,1,0,1,3,true,false,true,2,,,,,
wp_106_Normalized,680,1780,30,30,true,0,0,0,3,0,2,2,0,0,2,0,1,2,true,false,true,2,,,,,
wp_49_Normalized,753,1920,17,17,true,0,0,0,5,0,0,3,1,0,4,1,1,0,true,false,true,2,,,,,
wp_120_Normalized,808,2387,21,20,true,1,0,0,5,0,1,3,1,0,2,0,1,3,true,false,true,2,,,,,
wp_109_Normalized,832,2446,27,27,true,0,1,1,9,0,1,2,1,0,3,0,4,2,true,false,true,2,,,,,
wp_72_Normalized,858,1032,11,10,true,0,0,1,0,0,0,1,0,1,2,0,1,0,true,false,true,2,,,,,
wp_110_Normalized,913,2497,15,14,true,0,0,0,2,0,1,2,0,2,2,0,1,2,true,false,true,2,,,,,
wp_122_Normalized,1066,1899,14,13,true,0,0,1,0,0,0,1,1,0,3,0,2,1,true,false,true,2,,,,,
wp_104_Normalized,1072,1595,14,13,true,0,1,0,0,0,1,1,0,0,3,1,2,1,true,false,true,2,,,,,
wp_102_Normalized,1135,1871,19,19,true,0,1,1,6,0,1,1,1,0,4,0,1,1,true,false,true,2,,,,,
wp_84_Normalized,1184,2293,11,11,true,0,1,0,1,0,0,1,2,1,1,0,1,1,true,false,true,2,,,,,
